League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Algeria Division 1;Algeria;251,0;249,0;2,18;0,68;0,11;0,41;0,71;1,3;0,88;0,59;0,46;0,54;85,0;0,53;3,0;0,0;0,26
Norway Division 1;Norway;246,0;246,0;3,21;0,5;0,15;0,22;1,59;1,71;1,5;0,53;0,61;0,39;35,0;0,43;13,0;0,54;0,48
Czechia 2. Liga;Czech Republic;246,0;246,0;2,63;0,62;0,14;0,29;1,01;1,46;1,17;0,55;0,49;0,51;30,0;0,7;4,0;0,5;0,6
China Division 1;China;245,0;245,0;2,57;0,61;0,15;0,31;1,0;1,44;1,13;0,56;0,52;0,48;52,0;0,52;9,0;0,67;0,59
Spain Segunda Division RFEF Group 4;Spain;245,0;244,0;2,23;0,65;0,12;0,48;0,78;1,36;0,87;0,61;0,47;0,53;30,0;0,53;1,0;1,0;0,77
Paraguay Division Intermedia;Paraguay;244,0;244,0;2,5;0,64;0,14;0,27;0,9;1,39;1,11;0,56;0,53;0,47;6,0;0,67;0,0;0,0;0,33
Jamaica Premier League;Jamaica;244,0;242,0;2,58;0,78;0,15;0,27;0,57;1,43;1,15;0,55;0,43;0,57;36,0;0,56;19,0;0,53;0,54
USA US Open Cup;USA;243,0;243,0;3,04;0,6;0,15;0,47;1,21;1,75;1,29;0,58;0,55;0,45;62,0;0,48;10,0;0,5;0,49
Mexico Liga de Expansion;Mexico;243,0;242,0;2,82;0,63;0,13;0,59;1,04;1,7;1,12;0,6;0,56;0,44;43,0;0,58;1,0;1,0;0,79
Uzbekistan PFL;Uzbekistan;242,0;242,0;2,59;0,59;0,12;0,31;1,07;1,45;1,14;0,56;0,52;0,48;40,0;0,38;10,0;0,3;0,34
China Super League;China;242,0;242,0;3,15;0,56;0,13;0,49;1,39;1,82;1,33;0,58;0,6;0,4;61,0;0,67;19,0;0,74;0,7
England National League Division 1 Women;England;242,0;242,0;3,28;0,63;0,15;0,13;1,23;1,71;1,57;0,52;0,48;0,52;66,0;0,52;32,0;0,44;0,48
Sweden 1.div Södra;Sweden;241,0;241,0;3,0;0,56;0,16;0,24;1,31;1,62;1,38;0,54;0,56;0,44;25,0;0,48;6,0;0,17;0,32
AFC Champions League Two;International (Asia);239,0;239,0;3,08;0,6;0,14;0,34;1,24;1,71;1,37;0,55;0,55;0,45;63,0;0,6;20,0;0,45;0,53
Slovakia Cup;Slovakia;238,0;238,0;3,72;0,55;0,18;1,62;1,66;1,05;2,67;0,28;0,52;0,48;17,0;0,76;136,0;0,53;0,65
Australia New South Wales League 1;Australia;238,0;238,0;3,15;0,59;0,14;0,23;1,28;1,69;1,46;0,54;0,62;0,38;9,0;0,67;1,0;1,0;0,83
Rwanda National League;Rwanda;237,0;237,0;2,05;0,7;0,15;0,13;0,61;1,09;0,96;0,53;0,44;0,56;44,0;0,45;16,0;0,69;0,57
Bulgaria Second League;Bulgaria;236,0;233,0;2,42;0,69;0,13;0,36;0,74;1,39;1,03;0,58;0,42;0,58;67,0;0,37;6,0;0,5;0,44
Sweden Allsvenskan;Sweden;235,0;235,0;2,86;0,61;0,11;0,12;1,11;1,49;1,37;0,52;0,56;0,44;37,0;0,68;6,0;0,33;0,5
Türkiye Cup;Turkey;235,0;234,0;3,33;0,59;0,15;0,22;1,38;1,77;1,56;0,53;0,54;0,46;68,0;0,56;30,0;0,57;0,56
Spain Primera Women;Spain;235,0;235,0;2,94;0,69;0,13;0,11;0,92;1,52;1,42;0,52;0,4;0,6;69,0;0,36;44,0;0,39;0,37
England FA Trophy;England;235,0;234,0;2,91;0,58;0,13;0,45;1,21;1,68;1,23;0,58;0,5;0,5;29,0;0,72;5,0;0,2;0,46
Sweden 1.div Norra;Sweden;234,0;234,0;3,44;0,58;0,17;0,31;1,43;1,87;1,56;0,54;0,63;0,37;43,0;0,63;17,0;0,53;0,58
Thailand Premier League;Thailand;234,0;233,0;2,69;0,62;0,11;0,48;1,02;1,59;1,1;0,59;0,56;0,44;33,0;0,58;7,0;0,86;0,72
Sweden Superettan;Sweden;234,0;233,0;2,88;0,59;0,13;0,43;1,18;1,65;1,22;0,58;0,58;0,42;21,0;0,62;3,0;0,33;0,48
Switzerland Super League;Switzerland;234,0;234,0;3,33;0,53;0,12;0,37;1,57;1,85;1,48;0,56;0,68;0,32;23,0;0,61;4,0;0,75;0,68
CAF Champions League;International (Africa);233,0;233,0;2,08;0,76;0,12;0,82;0,49;1,45;0,63;0,7;0,3;0,7;110,0;0,29;12,0;0,33;0,31
Spain Tercera - Play-offs;Spain;233,0;233,0;1,95;0,72;0,11;0,12;0,56;1,04;0,91;0,53;0,45;0,55;13,0;0,54;0,0;0,0;0,27
AFC Champions League Elite;International (Asia);233,0;233,0;2,82;0,65;0,12;0,55;0,99;1,69;1,13;0,6;0,5;0,5;64,0;0,45;11,0;0,82;0,64
Italy Serie D Cup;Italy;233,0;233,0;2,46;0,61;0,12;0,33;0,97;1,39;1,06;0,57;0,55;0,45;27,0;0,81;3,0;0,67;0,74
Cyprus Division 1;Cyprus;233,0;233,0;2,61;0,57;0,12;0,29;1,11;1,45;1,16;0,56;0,43;0,57;59,0;0,37;41,0;0,39;0,38
Austria 2. Liga;Austria;233,0;233,0;2,76;0,61;0,14;0,09;1,07;1,43;1,33;0,52;0,53;0,47;26,0;0,65;9,0;0,78;0,72
Bolivia Primera Division;Bolivia;233,0;231,0;3,61;0,58;0,13;0,91;1,51;2,26;1,35;0,63;0,65;0,35;85,0;0,62;5,0;0,6;0,61
Ukraine Vyscha Liga;Ukraine;232,0;232,0;2,55;0,7;0,15;0,03;0,76;1,29;1,26;0,51;0,44;0,56;44,0;0,36;31,0;0,55;0,46
South Korea K League 1;South Korea;232,0;232,0;2,56;0,62;0,13;0,0;0,98;1,28;1,28;0,5;0,55;0,45;13,0;0,54;4,0;0,0;0,27
Scotland Premiership;Scotland;231,0;231,0;2,76;0,59;0,11;0,45;1,14;1,61;1,15;0,58;0,52;0,48;54,0;0,44;17,0;0,65;0,55
El Salvador Clausura;El Salvador;230,0;229,0;2,59;0,61;0,14;0,07;1,0;1,33;1,26;0,51;0,53;0,47;42,0;0,6;6,0;0,5;0,55
England FA Cup Qualification;England;230,0;230,0;3,12;0,56;0,15;0,49;1,36;1,8;1,32;0,58;0,55;0,45;45,0;0,47;6,0;0,5;0,48
Wales Championship North;Wales;229,0;229,0;3,49;0,56;0,15;0,73;1,54;2,11;1,38;0,6;0,57;0,43;43,0;0,58;18,0;0,61;0,6
Chile Cup;Chile;228,0;228,0;2,8;0,66;0,12;0,46;0,95;1,63;1,17;0,58;0,52;0,48;37,0;0,46;17,0;0,65;0,55
Wales Championship South;Wales;228,0;228,0;3,12;0,61;0,14;0,17;1,22;1,64;1,48;0,53;0,52;0,48;35,0;0,34;14,0;0,64;0,49
Türkiye 2 Lig Beyaz;Turkey;228,0;225,0;2,71;0,64;0,14;0,23;0,96;1,24;1,47;0,46;0,53;0,47;47,0;0,55;35,0;0,54;0,55
Argentina Torneo Regional Amateur;Argentina;227,0;225,0;2,63;0,64;0,13;0,75;0,96;1,69;0,94;0,64;0,46;0,54;46,0;0,54;4,0;0,5;0,52
Venezuela Segunda Division;Venezuela;226,0;225,0;2,33;0,71;0,12;0,37;0,67;1,35;0,98;0,58;0,5;0,5;25,0;0,64;2,0;1,0;0,82
Spain Tercera Group 6;Spain;226,0;226,0;2,21;0,63;0,13;0,28;0,81;1,25;0,96;0,56;0,45;0,55;27,0;0,52;2,0;1,0;0,76
Venezuela Primera Division;Venezuela;224,0;224,0;2,47;0,65;0,1;0,38;0,87;1,42;1,05;0,58;0,49;0,51;34,0;0,35;4,0;0,75;0,55
USA USL League One;USA;224,0;224,0;2,79;0,61;0,14;0,47;1,09;1,63;1,16;0,58;0,59;0,41;7,0;0,71;0,0;0,0;0,36
Brazil Serie C;Brazil;221,0;221,0;2,07;0,69;0,09;0,24;0,64;1,16;0,91;0,56;0,44;0,56;39,0;0,49;0,0;0,0;0,24
Spain Tercera Federacion Women;Spain;221,0;221,0;3,46;0,61;0,15;0,24;1,36;1,85;1,61;0,53;0,49;0,51;50,0;0,42;31,0;0,58;0,5
South Korea K3 League;South Korea;221,0;221,0;2,44;0,68;0,14;0,03;0,79;1,24;1,2;0,51;0,48;0,52;18,0;0,56;5,0;0,0;0,28
Greece Super League 1;Greece;221,0;221,0;2,52;0,62;0,11;0,24;0,94;1,38;1,14;0,55;0,46;0,54;63,0;0,4;32,0;0,44;0,42
Hungary NB II;Hungary;221,0;221,0;2,54;0,63;0,14;0,23;0,94;1,38;1,16;0,54;0,49;0,51;25,0;0,64;3,0;0,0;0,32
Slovakia 2. Liga;Slovakia;220,0;220,0;2,93;0,59;0,13;0,37;1,2;1,65;1,28;0,56;0,62;0,38;36,0;0,72;6,0;0,5;0,61
Israel Premier League;Israel;220,0;220,0;3,03;0,63;0,14;0,17;1,12;1,6;1,43;0,53;0,56;0,44;47,0;0,66;23,0;0,7;0,68
World Club Friendlies;International (World);220,0;218,0;2,8;0,71;0,15;0,15;0,81;1,47;1,33;0,53;0,55;0,45;24,0;0,62;16,0;0,56;0,59
Lithuania 1 Lyga;Lithuania;220,0;220,0;3,04;0,53;0,14;0,15;1,43;1,6;1,44;0,53;0,51;0,49;38,0;0,55;20,0;0,6;0,58
Honduras Liga Nacional;Honduras;219,0;217,0;2,84;0,6;0,16;0,23;1,12;1,53;1,31;0,54;0,56;0,44;52,0;0,63;7,0;0,57;0,6
CAF Confederations Cup;International (Africa);218,0;218,0;2,26;0,68;0,13;0,93;0,73;1,59;0,67;0,71;0,36;0,64;92,0;0,3;6,0;0,33;0,32
South Africa Premier;South Africa;218,0;216,0;1,99;0,71;0,11;0,31;0,58;1,15;0,84;0,58;0,38;0,62;42,0;0,4;21,0;0,43;0,42
Indonesia Super League;Indonesia;217,0;216,0;2,75;0,6;0,14;0,32;1,09;1,53;1,21;0,56;0,51;0,49;32,0;0,34;7,0;0,14;0,24
Argentina Nacional Reserve League;Argentina;216,0;215,0;2,31;0,65;0,16;0,06;0,8;1,19;1,12;0,51;0,47;0,53;22,0;0,64;2,0;0,0;0,32
Israel Cup;Israel;216,0;216,0;3,27;0,59;0,16;0,07;1,33;1,67;1,6;0,51;0,47;0,53;34,0;0,56;29,0;0,55;0,56
Spain Tercera Group 5;Spain;215,0;214,0;2,37;0,69;0,13;0,32;0,73;1,34;1,03;0,57;0,5;0,5;23,0;0,39;0,0;0,0;0,2
Hungary NB I;Hungary;214,0;214,0;2,93;0,58;0,14;0,1;1,22;1,51;1,41;0,52;0,6;0,4;31,0;0,65;10,0;0,7;0,67
Norway Cup;Norway;214,0;214,0;3,56;0,54;0,16;1,04;1,62;1,26;2,3;0,35;0,58;0,42;9,0;0,78;92,0;0,5;0,64
Costa Rica Segunda;Costa Rica;214,0;214,0;2,78;0,62;0,12;0,51;1,05;1,64;1,14;0,59;0,6;0,4;18,0;0,33;0,0;0,0;0,17
England Isthmian Premier Division;England;213,0;213,0;3,12;0,54;0,16;0,09;1,44;1,51;1,61;0,48;0,63;0,37;9,0;0,44;2,0;0,0;0,22
Spain Tercera Group 1;Spain;213,0;213,0;2,4;0,64;0,15;0,31;0,86;1,35;1,05;0,56;0,47;0,53;23,0;0,61;3,0;0,67;0,64
Greece Super League 2;Greece;213,0;212,0;2,17;0,66;0,13;0,29;0,74;1,23;0,94;0,57;0,38;0,62;66,0;0,33;35,0;0,51;0,42
Romania Cup;Romania;213,0;213,0;3,0;0,64;0,15;0,5;1,09;1,25;1,75;0,42;0,54;0,46;15,0;0,47;56,0;0,68;0,57
Switzerland 1.Liga Classic;Switzerland;212,0;212,0;3,17;0,6;0,14;0,23;1,26;1,7;1,47;0,54;0,58;0,42;20,0;0,6;5,0;0,8;0,7
Spain Segunda Federacion Women;Spain;211,0;211,0;2,8;0,64;0,14;0,79;1,01;1,79;1,0;0,64;0,5;0,5;50,0;0,54;12,0;0,83;0,69
Nigeria Premier League;Nigeria;211,0;209,0;1,96;0,71;0,1;0,82;0,57;1,39;0,57;0,71;0,38;0,62;151,0;0,44;0,0;0,0;0,22
Honduras Reserve League;Honduras;210,0;210,0;3,6;0,57;0,2;0,45;1,56;2,03;1,58;0,56;0,63;0,37;32,0;0,62;11,0;0,82;0,72
Spain Tercera Group 13;Spain;208,0;208,0;2,4;0,69;0,13;0,22;0,74;1,31;1,09;0,55;0,48;0,52;18,0;0,56;8,0;0,75;0,65
Sweden Cup;Sweden;207,0;207,0;3,21;0,53;0,16;0,23;1,49;1,72;1,49;0,54;0,48;0,52;65,0;0,49;43,0;0,49;0,49
Egypt Second Division B;Egypt;206,0;206,0;2,39;0,69;0,11;0,32;0,74;1,35;1,04;0,57;0,46;0,54;24,0;0,67;1,0;1,0;0,83
Northern Ireland Premier;North Ireland;206,0;204,0;2,92;0,57;0,2;0,24;1,25;1,58;1,34;0,54;0,51;0,49;41,0;0,49;24,0;0,58;0,54
Uruguay Segunda;Uruguay;204,0;204,0;2,14;0,67;0,14;0,16;0,71;1,15;0,99;0,54;0,45;0,55;3,0;0,67;0,0;0,0;0,33
Europe - World Cup Qualifying;International (Europe);204,0;204,0;3,3;0,62;0,13;0,47;1,24;1,89;1,42;0,57;0,43;0,57;89,0;0,43;61,0;0,38;0,4
UAE Division 1;UAE;203,0;202,0;2,95;0,62;0,15;0,0;1,13;1,48;1,47;0,5;0,57;0,43;24,0;0,5;11,0;0,64;0,57
Africa - World Cup Qualifying;International (Africa);203,0;203,0;2,49;0,67;0,14;0,18;0,83;1,33;1,15;0,54;0,38;0,62;86,0;0,42;48,0;0,31;0,37
Slovenia 2. SNL;Slovenia;203,0;203,0;2,88;0,63;0,14;0,24;1,07;1,56;1,32;0,54;0,51;0,49;42,0;0,69;22,0;0,41;0,55
Argentina Copa de la Liga Profesional;Argentina;203,0;203,0;2,21;0,69;0,1;0,18;0,7;1,2;1,01;0,54;0,43;0,57;35,0;0,63;3,0;0,33;0,48
Austria Amateur Cup;Austria;203,0;203,0;4,42;0,57;0,18;0,79;1,9;1,82;2,61;0,41;0,62;0,38;25,0;0,8;71,0;0,59;0,7
Chile Tercera;Chile;202,0;202,0;3,17;0,56;0,13;0,35;1,38;1,76;1,41;0,55;0,57;0,43;29,0;0,45;2,0;0,5;0,47
San Marino Campionato;San Marino;201,0;198,0;2,74;0,63;0,17;0,02;1,01;1,38;1,36;0,5;0,45;0,55;46,0;0,43;47,0;0,43;0,43
Panama LPF;Panama;201,0;200,0;2,54;0,67;0,15;0,15;0,84;1,35;1,19;0,53;0,52;0,48;8,0;0,62;0,0;0,0;0,31
Italy Campionato Primavera 1;Italy;201,0;201,0;2,69;0,66;0,11;0,35;0,91;1,52;1,17;0,57;0,53;0,47;11,0;0,27;1,0;1,0;0,64
Brazil Serie A U20;Brazil;200,0;199,0;2,96;0,63;0,13;0,43;1,08;1,69;1,26;0,57;0,59;0,41;22,0;0,77;1,0;0,0;0,39
Denmark Superligaen;Denmark;200,0;200,0;3,06;0,55;0,12;0,2;1,39;1,63;1,42;0,53;0,61;0,39;25,0;0,68;10,0;0,7;0,69
Costa Rica Primera Division;Costa Rica;199,0;197,0;2,47;0,63;0,11;0,31;0,9;1,39;1,08;0,56;0,48;0,52;45,0;0,56;2,0;0,5;0,53
Brazil Copa Nordeste;Brazil;199,0;199,0;2,43;0,62;0,11;0,58;0,92;1,51;0,92;0,62;0,52;0,48;59,0;0,58;9,0;0,78;0,68
Netherlands Cup;Netherlands;199,0;199,0;3,42;0,58;0,15;0,1;1,44;1,76;1,66;0,51;0,64;0,36;46,0;0,67;45,0;0,69;0,68
Austria Bundesliga;Austria;198,0;198,0;2,67;0,59;0,11;0,2;1,08;1,43;1,23;0,54;0,55;0,45;12,0;0,5;5,0;1,0;0,75
England Southern Premier League Central;England;197,0;197,0;3,0;0,59;0,15;0,3;1,22;1,65;1,35;0,55;0,52;0,48;15,0;0,4;4,0;0,5;0,45
Mexico Liga MX U19 Femenil;Mexico;196,0;196,0;2,53;0,61;0,15;0,51;0,99;1,52;1,01;0,6;0,45;0,55;34,0;0,5;15,0;0,53;0,52
Wales Premier League;Wales;196,0;196,0;2,86;0,63;0,14;0,09;1,05;1,47;1,39;0,52;0,5;0,5;37,0;0,62;22,0;0,41;0,52
Tunisia League 1;Tunisia;196,0;195,0;1,71;0,77;0,09;0,36;0,4;1,04;0,68;0,6;0,27;0,73;69,0;0,25;15,0;0,53;0,39
Women’s International;International (World);195,0;194,0;2,94;0,6;0,15;0,77;1,17;1,86;1,08;0,63;0,42;0,58;73,0;0,34;11,0;0,55;0,44
Bosnia & Herzegovina 1st League;Bosnia;194,0;194,0;2,42;0,61;0,12;0,66;0,94;1,54;0,88;0,64;0,43;0,57;63,0;0,49;2,0;1,0;0,75
Azerbaijan Premier League;Azerbaijan;194,0;193,0;2,54;0,64;0,14;0,09;0,91;1,31;1,23;0,52;0,44;0,56;46,0;0,5;25,0;0,56;0,53
Kazakhstan Premier League;Kazakhstan;194,0;194,0;2,65;0,67;0,12;0,34;0,87;1,49;1,16;0,56;0,57;0,43;38,0;0,63;15,0;0,4;0,52
Czechia 5. Liga;Czech Republic;193,0;193,0;3,77;0,57;0,18;0,67;1,63;2,22;1,55;0,59;0,67;0,33;24,0;0,62;3,0;0,67;0,65
Israel Liga Bet North;Israel;192,0;192,0;3,44;0,6;0,15;0,42;1,39;1,93;1,51;0,56;0,52;0,48;45,0;0,36;19,0;0,63;0,49
Slovakia Super Liga;Slovakia;192,0;192,0;2,85;0,58;0,12;0,16;1,2;1,51;1,35;0,53;0,54;0,46;37,0;0,68;6,0;0,67;0,67
Croatia 1.NL;Croatia;192,0;191,0;2,3;0,62;0,12;0,49;0,87;1,4;0,9;0,61;0,46;0,54;32,0;0,56;1,0;1,0;0,78
Indonesia Championship;Indonesia;191,0;191,0;2,58;0,67;0,13;0,41;0,84;1,5;1,08;0,58;0,53;0,47;50,0;0,6;10,0;0,5;0,55
England EFL Cup;England;191,0;191,0;3,01;0,56;0,12;0,18;1,33;1,59;1,41;0,53;0,54;0,46;56,0;0,59;28,0;0,61;0,6
Gambia GFA League;Gambia;190,0;183,0;1,87;0,8;0,11;0,05;0,37;0,96;0,91;0,51;0,43;0,57;10,0;0,6;1,0;1,0;0,8
UEFA Europa League;International (Europe);190,0;190,0;2,65;0,59;0,11;0,33;1,08;1,49;1,16;0,56;0,5;0,5;50,0;0,6;9,0;0,56;0,58
Czechia Youth League;Czech Republic;189,0;189,0;3,58;0,55;0,16;0,33;1,61;1,95;1,62;0,55;0,66;0,34;16,0;0,56;3,0;0,33;0,45
Scotland League Cup;Scotland;189,0;189,0;3,32;0,6;0,15;0,47;1,34;1,89;1,42;0,57;0,41;0,59;68,0;0,4;44,0;0,5;0,45
Vietnam V-League;Vietnam;189,0;189,0;2,72;0,57;0,14;0,2;1,17;1,46;1,26;0,54;0,57;0,43;41,0;0,54;9,0;0,67;0,6
USA NWSL Women;USA;189,0;188,0;2,55;0,62;0,13;0,2;0,97;1,38;1,17;0,54;0,53;0,47;26,0;0,5;6,0;0,5;0,5
Australia NPL Victoria;Australia;188,0;188,0;3,13;0,53;0,16;0,18;1,46;1,65;1,48;0,53;0,57;0,43;21,0;0,86;8,0;0,5;0,68
Croatia 2.NL;Croatia;188,0;188,0;2,84;0,58;0,14;0,5;1,2;1,67;1,17;0,59;0,49;0,51;38,0;0,42;4,0;0,25;0,34
Lithuania A Lyga;Lithuania;188,0;188,0;2,62;0,61;0,13;0,22;1,03;1,42;1,2;0,54;0,49;0,51;38,0;0,53;16,0;0,38;0,45
Denmark Division 1;Denmark;187,0;186,0;2,82;0,59;0,12;0,26;1,16;1,54;1,28;0,55;0,57;0,43;16,0;0,81;4,0;0,5;0,66
Republic of Ireland Premier Division;Ireland;187,0;187,0;2,4;0,67;0,09;0,35;0,79;1,37;1,03;0,57;0,52;0,48;45,0;0,62;6,0;0,67;0,64
Republic of Ireland First Division;Ireland;187,0;186,0;2,71;0,59;0,14;0,34;1,12;1,52;1,18;0,56;0,56;0,44;26,0;0,85;6,0;0,67;0,76
Malta Premier League;Malta;187,0;186,0;2,48;0,65;0,16;0,3;0,87;1,39;1,09;0,56;0,51;0,49;19,0;0,53;10,0;0,4;0,46
Netherlands Derde Divisie;Netherlands;185,0;185,0;3,35;0,54;0,15;0,22;1,55;1,78;1,57;0,53;0,59;0,41;8,0;0,62;4,0;0,75;0,69
Scotland League One;Scotland;185,0;185,0;2,64;0,56;0,13;0,15;1,15;1,39;1,24;0,53;0,52;0,48;26,0;0,65;6,0;0,33;0,49
Scotland Championship;Scotland;185,0;184,0;2,41;0,68;0,14;0,24;0,78;1,32;1,08;0,55;0,48;0,52;21,0;0,52;4,0;0,75;0,64
Bosnia & Herzegovina Premier Liga;Bosnia;185,0;184,0;2,25;0,71;0,12;0,45;0,66;1,35;0,9;0,6;0,39;0,61;62,0;0,45;14,0;0,36;0,4
Montenegro Prva Liga;Montenegro;183,0;183,0;2,45;0,68;0,14;0,38;0,8;1,42;1,04;0,58;0,49;0,51;14,0;0,64;0,0;0,0;0,32
Latvia Virsliga;Latvia;183,0;183,0;2,99;0,62;0,15;0,18;1,14;1,58;1,4;0,53;0,58;0,42;41,0;0,56;35,0;0,66;0,61
USA WPSL Women;USA;183,0;183,0;3,82;0,55;0,14;0,14;1,7;1,98;1,84;0,52;0,63;0,37;42,0;0,64;23,0;0,52;0,58
Spain Primera Federacion Women;Spain;182,0;182,0;2,53;0,6;0,12;0,38;1,02;1,46;1,07;0,58;0,52;0,48;34,0;0,47;7,0;0,29;0,38
UEFA Champions League Qualifying;International (Europe);182,0;182,0;2,7;0,67;0,13;0,5;0,89;1,6;1,1;0,59;0,44;0,56;56,0;0,5;15,0;0,27;0,38
Switzerland Challenge League;Switzerland;181,0;181,0;2,97;0,61;0,12;0,12;1,17;1,55;1,43;0,52;0,57;0,43;27,0;0,67;7,0;0,86;0,76
Estonia Meistriliiga;Estonia;181,0;180,0;3,24;0,51;0,13;0,46;1,58;1,85;1,39;0,57;0,57;0,43;50,0;0,52;36,0;0,53;0,52
Scotland League Two;Scotland;181,0;181,0;2,9;0,53;0,13;0,12;1,35;1,51;1,39;0,52;0,6;0,4;10,0;0,4;3,0;0,67;0,53
Australia New South Wales NPL Women;Australia;180,0;180,0;3,41;0,54;0,16;0,24;1,58;1,82;1,58;0,54;0,54;0,46;20,0;0,45;14,0;0,5;0,48
Croatia HNL;Croatia;180,0;180,0;2,66;0,56;0,13;0,24;1,16;1,45;1,21;0,55;0,54;0,46;41,0;0,59;15,0;0,6;0,59
Women’s Friendly;International (World);180,0;180,0;3,47;0,64;0,16;0,72;1,25;2,09;1,38;0,6;0,56;0,44;36,0;0,53;19,0;0,74;0,63
Tunisia League 2;Tunisia;180,0;178,0;2,16;0,7;0,12;0,64;0,65;1,4;0,76;0,65;0,4;0,6;51,0;0,41;1,0;0,0;0,21
Luxembourg Division Nationale;Luxembourg;180,0;180,0;2,93;0,63;0,15;0,08;1,08;1,51;1,43;0,51;0,51;0,49;33,0;0,42;23,0;0,43;0,43
Australia Victoria Premier League 1;Australia;178,0;178,0;3,39;0,54;0,16;0,63;1,56;2,01;1,38;0,59;0,59;0,41;11,0;0,45;2,0;1,0;0,73
Kenya Super League;Kenya;178,0;177,0;2,12;0,71;0,09;0,45;0,63;1,29;0,84;0,61;0,4;0,6;26,0;0,54;2,0;1,0;0,77
Denmark Division 2;Denmark;178,0;178,0;2,68;0,58;0,13;0,25;1,13;1,47;1,21;0,55;0,55;0,45;17,0;0,71;4,0;0,75;0,73
Finland Veikkausliiga;Finland;178,0;177,0;3,17;0,55;0,13;0,02;1,44;1,6;1,57;0,5;0,65;0,35;29,0;0,72;9,0;0,56;0,64
America Friendlies;International (World);178,0;178,0;2,89;0,58;0,14;0,35;1,21;1,62;1,27;0,56;0,63;0,37;20,0;0,6;10,0;0,6;0,6
South Africa Diski Challenge;South Africa;178,0;177,0;2,88;0,57;0,13;0,07;1,24;1,48;1,4;0,51;0,56;0,44;29,0;0,55;4,0;0,75;0,65
Ecuador LigaPro Serie B;Ecuador;177,0;177,0;2,19;0,73;0,1;0,64;0,59;1,41;0,77;0,65;0,43;0,57;31,0;0,29;4,0;0,75;0,52
Scotland League Challenge Cup;Scotland;176,0;176,0;3,58;0,52;0,15;0,77;1,73;2,18;1,4;0,61;0,64;0,36;51,0;0,57;8,0;0,38;0,47
Burkina Faso League;Burkina Faso;176,0;167,0;1,71;0,85;0,16;0,15;0,26;0,93;0,78;0,54;0,33;0,67;14,0;0,43;2,0;1,0;0,71
Türkiye 3.Lig Group 1;Turkey;176,0;176,0;2,39;0,71;0,13;0,15;0,7;1,27;1,12;0,53;0,47;0,53;22,0;0,55;5,0;0,6;0,57
Australia New South Wales League 2;Australia;175,0;175,0;3,65;0,57;0,14;0,26;1,56;1,95;1,69;0,54;0,66;0,34;10,0;0,3;4,0;0,75;0,52
South Korea K4 League;South Korea;172,0;172,0;3,21;0,65;0,15;0,41;1,12;1,81;1,4;0,56;0,56;0,44;21,0;0,67;5,0;0,8;0,73
Ghana Premier League;Ghana;170,0;169,0;1,88;0,79;0,1;0,6;0,39;1,24;0,64;0,66;0,34;0,66;75,0;0,33;1,0;0,0;0,17
Netherlands U21 League;Netherlands;170,0;170,0;4,27;0,5;0,17;0,12;2,15;2,19;2,08;0,51;0,71;0,29;15,0;0,67;9,0;0,89;0,78
Scotland Lowland League;Scotland;170,0;170,0;3,95;0,48;0,18;0,11;2,07;2,03;1,92;0,51;0,69;0,31;24,0;0,71;12,0;0,58;0,65
Switzerland 1.Liga Promotion;Switzerland;170,0;170,0;3,58;0,56;0,15;0,25;1,56;1,91;1,66;0,53;0,69;0,31;6,0;1,0;3,0;0,33;0,67
Iraq Premier Division;Iraq;169,0;168,0;2,17;0,72;0,14;0,4;0,62;1,28;0,89;0,59;0,47;0,53;10,0;0,5;0,0;0,0;0,25
Australia A-League;Australia;169,0;169,0;2,8;0,57;0,1;0,12;1,2;1,46;1,34;0,52;0,59;0,41;11,0;0,73;0,0;0,0;0,36
Uganda Premier League;Uganda;169,0;169,0;2,04;0,77;0,09;0,47;0,46;1,25;0,79;0,61;0,37;0,63;47,0;0,28;12,0;0,33;0,3
Israel Liga Alef South;Israel;169,0;169,0;2,85;0,56;0,14;0,02;1,25;1,44;1,41;0,5;0,55;0,45;11,0;0,45;3,0;0,33;0,39
Poland Youth League;Poland;169,0;169,0;3,6;0,54;0,13;0,38;1,68;1,99;1,61;0,55;0,61;0,39;17,0;0,71;3,0;0,67;0,69
Finland Ykkonen;Finland;168,0;168,0;3,45;0,56;0,15;0,42;1,53;1,93;1,52;0,56;0,6;0,4;15,0;0,6;0,0;0,0;0,3
Australia Queensland Premier League 3;Australia;167,0;167,0;4,57;0,51;0,18;0,25;2,22;2,41;2,16;0,53;0,74;0,26;24,0;0,71;16,0;0,69;0,7
Guatemala Segunda Division;Guatemala;166,0;166,0;2,96;0,56;0,13;0,72;1,29;1,84;1,12;0,62;0,52;0,48;32,0;0,5;4,0;0,75;0,62
Hong Kong 1st Division;Hong Kong;165,0;165,0;3,76;0,6;0,16;0,04;1,52;1,9;1,86;0,51;0,53;0,47;34,0;0,59;35,0;0,57;0,58
Republic of Ireland Leinster Senior League;Ireland;165,0;165,0;3,49;0,52;0,16;0,18;1,66;1,84;1,65;0,53;0,65;0,35;16,0;0,56;8,0;0,62;0,59
