League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Mexico Segunda Division;Mexico;445,0;441,0;2,74;0,66;0,14;0,46;0,92;1,6;1,14;0,58;0,49;0,51;69,0;0,55;12,0;0,42;0,48
Brazil Serie A;Brazil;432,0;432,0;2,56;0,61;0,1;0,47;0,99;1,52;1,04;0,59;0,49;0,51;119,0;0,54;8,0;0,62;0,58
Argentina Primera B Metropolitana;Argentina;424,0;423,0;2,0;0,72;0,13;0,25;0,56;1,13;0,88;0,56;0,42;0,58;25,0;0,36;2,0;0,5;0,43
USA MLS Next Pro League;USA;424,0;424,0;3,45;0,56;0,15;0,31;1,52;1,88;1,57;0,55;0,67;0,33;30,0;0,73;1,0;1,0;0,87
England Northern League Division One;England;422,0;422,0;2,96;0,64;0,14;0,26;1,06;1,61;1,35;0,54;0,56;0,44;32,0;0,56;7,0;0,43;0,5
Italy Campionato Primavera 2;Italy;415,0;414,0;3,07;0,57;0,14;0,31;1,31;1,69;1,38;0,55;0,59;0,41;37,0;0,51;9,0;0,56;0,53
Italy Serie B;Italy;415,0;414,0;2,51;0,59;0,1;0,39;1,03;1,45;1,06;0,58;0,54;0,46;58,0;0,6;10,0;0,5;0,55
Türkiye 1 Lig;Turkey;408,0;408,0;2,93;0,62;0,14;0,44;1,11;1,68;1,25;0,57;0,51;0,49;91,0;0,47;51,0;0,63;0,55
UEFA Champions League;International (Europe);405,0;405,0;3,31;0,59;0,12;0,48;1,36;1,89;1,42;0,57;0,55;0,45;130,0;0,55;43,0;0,58;0,57
Netherlands Eerste Divisie;Netherlands;393,0;393,0;3,2;0,54;0,12;0,29;1,47;1,74;1,45;0,55;0,61;0,39;55,0;0,58;14,0;0,64;0,61
Algeria Division 2;Algeria;389,0;384,0;2,11;0,68;0,13;0,51;0,67;1,31;0,8;0,62;0,4;0,6;158,0;0,44;12,0;0,08;0,26
Germany 3. Liga;Germany;386,0;386,0;3,14;0,54;0,14;0,28;1,44;1,71;1,43;0,55;0,64;0,36;27,0;0,7;6,0;0,67;0,69
Japan J-League;Japan;385,0;385,0;2,52;0,65;0,1;0,24;0,89;1,38;1,14;0,55;0,5;0,5;28,0;0,5;4,0;0,75;0,62
England Premier League;England;383,0;383,0;2,74;0,58;0,11;0,28;1,16;1,51;1,23;0,55;0,55;0,45;83,0;0,65;23,0;0,39;0,52
Copa Sudamericana;International (South America);382,0;381,0;2,31;0,66;0,09;0,4;0,79;1,35;0,96;0,59;0,42;0,58;144,0;0,51;17,0;0,71;0,61
Belgium First Amateur Division;Belgium;382,0;382,0;3,28;0,58;0,14;0,17;1,39;1,73;1,55;0,53;0,59;0,41;31,0;0,52;13,0;0,69;0,6
Spain La Liga;Spain;382,0;382,0;2,7;0,57;0,11;0,43;1,18;1,57;1,14;0,58;0,55;0,45;79,0;0,57;24,0;0,58;0,58
USA USL League Two;USA;381,0;381,0;3,52;0,6;0,15;0,11;1,41;1,81;1,71;0,52;0,59;0,41;74,0;0,51;39,0;0,62;0,56
Italy Serie A;Italy;380,0;380,0;2,46;0,62;0,1;0,14;0,94;1,3;1,16;0,53;0,47;0,53;94,0;0,51;45,0;0,47;0,49
Italy Serie C Group A;Italy;380,0;378,0;2,33;0,64;0,12;0,15;0,84;1,24;1,09;0,53;0,5;0,5;41,0;0,54;9,0;0,44;0,49
Brazil Serie B;Brazil;378,0;378,0;2,2;0,63;0,08;0,28;0,82;1,24;0,96;0,56;0,5;0,5;70,0;0,61;2,0;1,0;0,81
Argentina Primera C Metropolitana;Argentina;376,0;374,0;1,99;0,74;0,13;0,13;0,52;1,06;0,93;0,53;0,39;0,61;38,0;0,53;7,0;0,57;0,55
Spain Primera Division RFEF Group 1;Spain;376,0;375,0;2,41;0,65;0,13;0,33;0,84;1,37;1,04;0,57;0,48;0,52;35,0;0,63;2,0;0,0;0,31
Argentina Reserve League;Argentina;375,0;375,0;2,73;0,73;0,15;0,28;0,73;1,51;1,23;0,55;0,46;0,54;40,0;0,5;17,0;0,41;0,46
Italy Serie C Group C;Italy;374,0;374,0;2,48;0,61;0,13;0,42;0,97;1,45;1,03;0,58;0,51;0,49;65,0;0,49;11,0;0,45;0,47
USA USL Championship;USA;371,0;371,0;2,61;0,67;0,14;0,35;0,86;1,48;1,13;0,57;0,51;0,49;40,0;0,6;0,0;0,0;0,3
Bolivia Copa Simon Bolivar;Bolivia;364,0;364,0;3,63;0,61;0,15;0,67;1,41;2,15;1,48;0,59;0,57;0,43;93,0;0,66;22,0;0,55;0,6
Greece Gamma Ethniki;Greece;363,0;363,0;2,36;0,72;0,14;0,52;0,65;1,44;0,92;0,61;0,43;0,57;122,0;0,48;22,0;0,41;0,44
Spain Primera Division RFEF Group 2;Spain;363,0;363,0;2,2;0,7;0,11;0,39;0,66;1,29;0,9;0,59;0,42;0,58;46,0;0,46;1,0;1,0;0,73
