DATA,Time,BTTS,IN LIVE?,Odd J,Odd M,Juice,EV,Stake,Lucro Max,Profit,Jogo,Liga,Região,Match ID,%_ProbMod,OBS
03/05/2026,00:00,Sim,,"1,62","1,80","0,00%","11,11%","R$ 1,00","0,80","R$ 0,80",Apollon Limassol vs Pafos FC,,,,"61,73%",
03/05/2026,00:00,Sim,S,"1,72","1,95","0,00%","13,37%","R$ 1,00","0,95","-R$ 1,00",Sparta Prague vs FK Jablonec,,,,"58,14%",
03/05/2026,00:00,Sim,,"1,82","2,20","0,00%","20,88%","R$ 1,00","1,20","-R$ 1,00",FK Napredak vs Radnicki Nis,,,,"54,95%",
03/05/2026,00:00,Sim,,"2,14","2,37","0,00%","10,75%","R$ 1,00","1,37","R$ 1,37",Mladost Lucani vs Spartak Subotica,,,,"46,73%",
03/05/2026,00:00,Sim,,"2,02","2,20","0,00%","8,91%","R$ 1,00","1,20","-R$ 1,00",Ferroviaria vs Anapolis,,,,"49,50%",
03/05/2026,00:00,Sim,,"1,86","2,10","0,00%","12,90%","R$ 1,00","1,10","R$ 1,10",Paysandu vs Botafogo PB,,,,"53,76%",
03/05/2026,00:00,Sim,,"2,28","2,37","0,00%","3,95%","R$ 1,00","1,37","R$ 1,37",Azuriz vs Sao Jose RS,,,,"43,86%",
03/05/2026,00:00,Sim,,"2,11","2,20","0,00%","4,27%","R$ 1,00","1,20","R$ 1,20",Atletico Alagoinhas vs ASA,,,,"47,39%",
03/05/2026,00:00,Sim,,"2,04","2,10","0,00%","2,94%","R$ 1,00","1,10","R$ 1,10",Brasiliense vs Aparecidense,,,,"49,02%",
03/05/2026,00:00,Sim,,"2,34","2,37","0,00%","1,28%","R$ 1,00","1,37","-R$ 1,00",Belgrano vs Sarmiento,,,,"42,74%",
03/05/2026,00:00,Sim,,"2,20","2,37","0,00%","7,73%","R$ 1,00","1,37","-R$ 1,00",Racing Club vs Huracan,,,,"45,45%",
03/05/2026,00:00,Sim,,"2,50","2,50","0,00%","0,00%","R$ 1,00","1,50","-R$ 1,00",CA Colegiales vs San Martin SJ,,,,"40,00%",
03/05/2026,00:00,Sim,,"2,36","2,50","0,00%","5,93%","R$ 1,00","1,50","-R$ 1,00",Club Atletico Mitre vs Acassuso,,,,"42,37%",
03/05/2026,00:00,Sim,,"2,36","2,62","0,00%","11,02%","R$ 1,00","1,62","-R$ 1,00",Almirante Brown vs CA Chaco For Ever,,,,"42,37%",
03/05/2026,00:00,Sim,,"2,44","2,62","0,00%","7,38%","R$ 1,00","1,62","R$ 1,62",Ferrocarril Midland vs CA Guemes,,,,"40,98%",
03/05/2026,00:00,Sim,,"2,45","2,62","0,00%","6,94%","R$ 1,00","1,62","R$ 1,62",Godoy Cruz vs CD Moron,,,,"40,82%",
03/05/2026,00:00,Sim,,"2,10","2,37","0,00%","12,86%","R$ 1,00","1,37","R$ 1,37",Escobar FC vs Defensores de Belgrano VR,,,,"47,62%",
03/05/2026,00:00,Sim,,"2,15","2,50","0,00%","16,28%","R$ 1,00","1,50","R$ 1,50",CA Sarmiento de la Banda vs Defensores Puerto Vilelas,,,,"46,51%",
03/05/2026,00:00,Sim,,"2,32","2,50","0,00%","7,76%","R$ 1,00","1,50","-R$ 1,00",Juventud Antoniana vs San Martin Formosa,,,,"43,10%",
03/05/2026,00:00,Sim,,"2,12","2,20","0,00%","3,77%","R$ 1,00","1,20","-R$ 1,00",Berazategui vs CA Lugano,,,,"47,17%",
03/05/2026,00:00,Sim,,"1,91","2,20","0,00%","15,18%","R$ 1,00","1,20","R$ 1,20",Puerto Nuevo vs Club Leandro N. Alem,,,,"52,36%",
03/05/2026,00:00,Sim,,"1,91","2,00","0,00%","4,71%","R$ 1,00","1,00","R$ 1,00",Municipal Liberia vs Deportivo Saprissa,,,,"52,36%",
03/05/2026,00:00,Sim,,"2,10","2,10","0,00%","0,00%","R$ 1,00","1,10","-R$ 1,00",Gotham FC (W) vs Racing Louisville FC (W),,,,"47,62%",
03/05/2026,00:00,Sim,,"1,89","1,90","0,00%","0,53%","R$ 1,00","0,90","R$ 0,90",Juan Pablo II College vs Universitario de Deportes,,,,"52,91%",
03/05/2026,00:00,Sim,,"1,86","2,37","0,00%","27,42%","R$ 1,00","1,37","-R$ 1,00",Nacional AM vs Sao Raimundo RR,,,,"53,76%",
03/05/2026,00:00,Sim,,"2,20","2,25","0,00%","2,27%","R$ 1,00","1,25","-R$ 1,00",Sampaio Correa vs Maracanã,,,,"45,45%",
03/05/2026,00:00,Sim,,"1,88","2,00","0,00%","6,38%","R$ 1,00","1,00","R$ 1,00",Deportes Limache vs O'Higgins,,,,"53,19%",
04/05/2026,00:00,Sim,S,"1,81","2,25","0,00%","24,31%","R$ 1,00","1,25","R$ 1,25",NK Dugopolje vs HNK Cibalia,,,,"55,25%",
04/05/2026,00:00,Sim,,"2,03","2,00","0,00%","-1,48%","R$ 1,00","1,00","R$ 1,00",Shamrock Rovers vs Drogheda United,,,,"49,26%",
04/05/2026,00:00,Sim,,"2,11","2,10","0,00%","-0,47%","R$ 1,00","1,10","R$ 1,10",Wadi Degla vs Kahraba Ismailia,,,,"47,39%",
04/05/2026,00:00,Sim,,"2,02","2,00","0,00%","-0,99%","R$ 1,00","1,00","-R$ 1,00",Al Shabab Seeb vs Al Rustaq,,,,"49,50%",
04/05/2026,00:00,Sim,,"2,15","2,20","0,00%","2,33%","R$ 1,00","1,20","R$ 1,20",US Yacoub El Mansour vs RSB Berkane,,,,"46,51%",
04/05/2026,00:00,Sim,,"1,88","1,95","0,00%","3,72%","R$ 1,00","0,95","-R$ 1,00",Roma vs Fiorentina,,,,"53,19%",
04/05/2026,00:00,Sim,,"2,13","2,20","0,00%","3,29%","R$ 1,00","1,20","R$ 1,20",Gimnasia Mendoza vs Defensa y Justicia,,,,"46,95%",
04/05/2026,00:00,Sim,,"2,01","2,10","0,00%","4,48%","R$ 1,00","1,10","R$ 1,10",Vila Nova vs Athletic Club MG,,,,"49,75%",
04/05/2026,00:00,Sim,,"1,93","2,00","0,00%","3,63%","R$ 1,00","1,00","R$ 1,00",Retro vs Sergipe,,,,"51,81%",
04/05/2026,00:00,Sim,,"2,14","2,25","0,00%","5,14%","R$ 1,00","1,25","-R$ 1,00",Figueirense vs Barra SC,,,,"46,73%",
04/05/2026,00:00,Sim,,"2,33","2,50","0,00%","7,30%","R$ 1,00","1,50","R$ 1,50",Floresta vs Maranhao,,,,"42,92%",
04/05/2026,00:00,Sim,,"2,13","2,20","0,00%","3,29%","R$ 1,00","1,20","-R$ 1,00",Ypiranga RS vs Ituano,,,,"46,95%",
04/05/2026,00:00,Sim,,"1,83","1,90","0,00%","3,83%","R$ 1,00","0,90","R$ 0,90",Trem AP vs Imperatriz,,,,"54,64%",
05/05/2026,00:00,Sim,,"2,05","2,10","0,00%","2,44%","R$ 1,00","1,10","R$ 1,10",Chippa United vs Sekhukhune United,,,,"48,78%",
05/05/2026,00:00,Sim,,"2,12","2,62","0,00%","23,58%","R$ 1,00","1,62","R$ 1,62",Magesi FC vs Orbit College,,,,"47,17%",
05/05/2026,00:00,Sim,,"2,12","2,50","0,00%","17,92%","R$ 1,00","1,50","-R$ 1,00",Stellenbosch FC vs Orlando Pirates,,,,"47,17%",
05/05/2026,00:00,Sim,S,"1,74","2,00","0,00%","14,94%","R$ 1,00","1,00","-R$ 1,00",RKC vs Willem II,,,,"57,47%",
05/05/2026,00:00,Sim,,"2,32","2,37","0,00%","2,16%","R$ 1,00","1,37","-R$ 1,00",Deportivo Cuenca vs San Lorenzo,,,,"43,10%",
06/05/2026,00:00,Sim,,"2,33","2,37","0,00%","1,72%","R$ 1,00","1,37","R$ 1,37",Mamelodi Sundowns vs Kaizer Chiefs,,,,"42,92%",
06/05/2026,00:00,Sim,,"1,97","2,10","0,00%","6,60%","R$ 1,00","1,10","-R$ 1,00",ABC vs Juazeirense,,,,"50,76%",
06/05/2026,00:00,Sim,,"2,06","2,10","0,00%","1,94%","R$ 1,00","1,10","-R$ 1,00",Sport Recife vs ASA,,,,"48,54%",
06/05/2026,00:00,Sim,,"1,65","2,20","0,00%","33,33%","R$ 1,00","1,20","R$ 1,20",Aguia de Maraba vs Paysandu,,,,"60,61%",
06/05/2026,00:00,Sim,,"1,89","2,00","0,00%","5,82%","R$ 1,00","1,00","-R$ 1,00",Avai vs Sampaio Correa RJ,,,,"52,91%",
06/05/2026,00:00,Sim,,"2,02","2,10","0,00%","3,96%","R$ 1,00","1,10","R$ 1,10",Sao Bernardo vs Caxias,,,,"49,50%",
06/05/2026,00:00,Sim,,"1,97","2,00","0,00%","1,52%","R$ 1,00","1,00","R$ 1,00",Volta Redonda vs Novorizontino,,,,"50,76%",
06/05/2026,00:00,Sim,,"1,86","2,10","0,00%","12,90%","R$ 1,00","1,10","R$ 1,10",Nacional AM vs Porto Velho,,,,"53,76%",
06/05/2026,00:00,Sim,,"1,87","2,00","0,00%","6,95%","R$ 1,00","1,00","-R$ 1,00",Deportes Tolima vs Nacional De Football,,,,"53,48%",
07/05/2026,00:00,Sim,S,"2,15","2,75","0,00%","27,91%","R$ 1,00","1,75","-R$ 1,00",Talaea El Geish vs Ghazl El Mahallah,,,,"46,51%",
07/05/2026,00:00,Sim,,"2,23","2,50","0,00%","12,11%","R$ 1,00","1,50","R$ 1,50",Difaa El Jadida vs HUSA Agadir,,,,"44,84%",
07/05/2026,00:00,Sim,,"1,94","2,25","0,00%","15,98%","R$ 1,00","1,25","-R$ 1,00",FK Auda vs SC Grobinas,,,,"51,55%",
07/05/2026,00:00,Sim,,"2,13","2,37","0,00%","11,27%","R$ 1,00","1,37","R$ 1,37",FAR Rabat vs OC Safi,,,,"46,95%",
07/05/2026,00:00,Sim,,"2,08","2,20","0,00%","5,77%","R$ 1,00","1,20","R$ 1,20",Carabobo vs River Plate,,,,"48,08%",
07/05/2026,00:00,Sim,,"2,27","2,75","0,00%","21,15%","R$ 1,00","1,75","-R$ 1,00",Atletico Bucaramanga vs CD Real Santander,,,,"44,05%",
07/05/2026,00:00,Sim,,"1,86","2,05","0,00%","10,22%","R$ 1,00","1,05","-R$ 1,00",Junior vs Cerro Porteno,,,,"53,76%",
08/05/2026,00:00,Sim,,"2,64","3,00","0,00%","13,64%","R$ 1,00","2,00","-R$ 1,00",Al Moqawloon Al Arab vs El Gounah,,,,"37,88%",
08/05/2026,00:00,Sim,S,"1,86","1,90","0,00%","2,15%","R$ 1,00","0,90","-R$ 1,00",Sur SC vs Al Shabab Seeb,,,,"53,76%",
08/05/2026,00:00,Sim,,"2,03","2,20","0,00%","8,37%","R$ 1,00","1,20","-R$ 1,00",Olympique Akbou vs CR Belouizdad,,,,"49,26%",
08/05/2026,00:00,Sim,,"1,74","1,80","0,00%","3,45%","R$ 1,00","0,80","-R$ 1,00",Elfsborg vs Brommapojkarna,,,,"57,47%",
08/05/2026,00:00,Sim,,"2,23","2,50","0,00%","12,11%","R$ 1,00","1,50","-R$ 1,00",Durban City vs Stellenbosch FC,,,,"44,84%",
08/05/2026,00:00,Sim,,"1,39","1,57","0,00%","12,95%","R$ 1,00","0,57","-R$ 1,00",Njardvik vs Fylkir Reykjavik,,,,"71,94%",
08/05/2026,00:00,Sim,,"1,80","1,95","0,00%","8,33%","R$ 1,00","0,95","-R$ 1,00",Shelbourne vs Sligo Rovers,,,,"55,56%",
08/05/2026,00:00,Sim,,"1,95","2,00","0,00%","2,56%","R$ 1,00","1,00","-R$ 1,00",Avellino vs Modena,,,,"51,28%",
08/05/2026,00:00,Sim,,"1,93","2,05","0,00%","6,22%","R$ 1,00","1,05","R$ 1,05",Sudtirol vs Juve Stabia,,,,"51,81%",
08/05/2026,00:00,Sim,,"2,08","2,62","0,00%","25,96%","R$ 1,00","1,62","R$ 1,62",Kawkab Marrakech vs Renaissance Zemamra,,,,"48,08%",
08/05/2026,00:00,Sim,S,"1,79","2,05","0,00%","14,53%","R$ 1,00","1,05","-R$ 1,00",Hull vs Millwall,,,,"55,87%",
08/05/2026,00:00,Sim,,"2,15","2,20","0,00%","2,33%","R$ 1,00","1,20","R$ 1,20",Boca Juniors De Cali vs Alianza,,,,"46,51%",
08/05/2026,00:00,Sim,,"2,12","2,20","0,00%","3,77%","R$ 1,00","1,20","-R$ 1,00",Orense vs Leones FC,,,,"47,17%",
08/05/2026,00:00,Sim,,"2,39","2,50","0,00%","4,60%","R$ 1,00","1,50","-R$ 1,00",Cruzeiro (W) vs America MG (W),,,,"41,84%",
08/05/2026,00:00,Sim,,"2,27","2,37","0,00%","4,41%","R$ 1,00","1,37","R$ 1,37",Banfield vs San Martin de Tucuman,,,,"44,05%",
08/05/2026,00:00,Sim,,"1,90","1,90","0,00%","0,00%","R$ 1,00","0,90","R$ 0,90",Colorado Switchbacks FC vs Orange County SC,,,,"52,63%",
09/05/2026,00:00,Sim,,"2,40","2,50","0,00%","4,17%","R$ 1,00","1,50","-R$ 1,00",Gwangju FC vs Gangwon FC,,,,"41,67%",
09/05/2026,00:00,Sim,,"1,79","1,80","0,00%","0,56%","R$ 1,00","0,80","R$ 0,80",Shanghai Shenhua vs Chongqing Tonglianglong,,,,"55,87%",
09/05/2026,00:00,Sim,,"1,80","1,80","0,00%","0,00%","R$ 1,00","0,80","R$ 0,80",Hwaseong FC vs Suwon FC,,,,"55,56%",
09/05/2026,00:00,Sim,,"1,93","2,20","0,00%","13,99%","R$ 1,00","1,20","R$ 1,20",Chungbuk Cheongju vs Gimpo FC,,,,"51,81%",
09/05/2026,00:00,Sim,,"1,75","1,80","0,00%","2,86%","R$ 1,00","0,80","-R$ 1,00",Suwon Bluewings vs Daegu FC,,,,"57,14%",
09/05/2026,00:00,Sim,,"1,95","1,95","0,00%","0,00%","R$ 1,00","0,95","R$ 0,95",Mito Hollyhock vs Urawa Red Diamonds,,,,"51,28%",
09/05/2026,00:00,Sim,,"1,47","1,53","0,00%","4,08%","R$ 1,00","0,53","R$ 0,53",Hansa Rostock vs VfB Stuttgart II,,,,"68,03%",
09/05/2026,00:00,Sim,,"1,66","1,72","0,00%","3,61%","R$ 1,00","0,72","R$ 0,72",VfL Osnabruck vs SSV Ulm 1846,,,,"60,24%",
09/05/2026,00:00,Sim,,"1,73","1,83","0,00%","5,78%","R$ 1,00","0,83","-R$ 1,00",Middlesbrough vs Southampton,,,,"57,80%",
09/05/2026,00:00,Sim,,"1,64","1,66","0,00%","1,22%","R$ 1,00","0,66","R$ 0,66",Hornchurch FC vs Torquay,,,,"60,98%",
09/05/2026,00:00,Sim,,"1,90","1,90","0,00%","0,00%","R$ 1,00","0,90","R$ 0,90",FK Teplice vs Banik Ostrava,,,,"52,63%",
09/05/2026,00:00,Sim,,"1,58","1,66","0,00%","5,06%","R$ 1,00","0,66","R$ 0,66",Umea FC vs Gefle IF,,,,"63,29%",
09/05/2026,00:00,Sim,,"1,95","2,20","0,00%","12,82%","R$ 1,00","1,20","-R$ 1,00",FC Rukh Lviv vs FC Veres Rivne,,,,"51,28%",
09/05/2026,00:00,Sim,,"1,83","2,05","0,00%","12,02%","R$ 1,00","1,05","R$ 1,05",Grazer AK vs SCR Altach,,,,"54,64%",
09/05/2026,00:00,Sim,,"1,78","1,80","0,00%","1,12%","R$ 1,00","0,80","R$ 0,80",AEL Limassol vs Olympiakos Nicosia,,,,"56,18%",
09/05/2026,00:00,Sim,,"1,64","1,66","0,00%","1,22%","R$ 1,00","0,66","-R$ 1,00",SJK Akatemia vs JaPS,,,,"60,98%",
09/05/2026,00:00,Sim,S,"1,93","2,00","0,00%","3,63%","R$ 1,00","1,00","R$ 1,00",Larissa vs Asteras Tripolis,,,,"51,81%",
09/05/2026,00:00,Sim,S,"1,40","1,57","0,00%","12,14%","R$ 1,00","0,57","R$ 0,57",IF Vestri vs HK Kopavogur,,,,"71,43%",
09/05/2026,00:00,Sim,S,"1,71","2,00","0,00%","16,96%","R$ 1,00","1,00","R$ 1,00",Podhale Nowy Targ vs Chojniczanka Chojnice,,,,"58,48%",
09/05/2026,00:00,Sim,,"1,73","1,80","0,00%","4,05%","R$ 1,00","0,80","-R$ 1,00",Olimpia Grudziadz vs Rekord Bielsko-Biala,,,,"57,80%",
09/05/2026,00:00,Sim,,"1,84","2,20","0,00%","19,57%","R$ 1,00","1,20","R$ 1,20",Sevilla vs Espanyol,,,,"54,35%",
09/05/2026,00:00,Sim,S,"1,88","2,20","0,00%","17,02%","R$ 1,00","1,20","-R$ 1,00",Eibar (W) vs Alhama CF (W),,,,"53,19%",
09/05/2026,00:00,Sim,S,"1,73","1,90","0,00%","9,83%","R$ 1,00","0,90","-R$ 1,00",Aberdeen vs Dundee Utd,,,,"57,80%",
09/05/2026,00:00,Sim,S,"1,80","2,20","0,00%","22,22%","R$ 1,00","1,20","-R$ 1,00",Stevenage vs Stockport,,,,"55,56%",
09/05/2026,00:00,Sim,,"1,89","1,90","0,00%","0,53%","R$ 1,00","0,90","-R$ 1,00",Ferencvarosi TC vs Zalaegerszegi TE,,,,"52,91%",
09/05/2026,00:00,Sim,,"1,54","1,57","0,00%","1,95%","R$ 1,00","0,57","R$ 0,57",Bodo/Glimt vs SK Brann,,,,"64,94%",
09/05/2026,00:00,Sim,,"1,95","2,20","0,00%","12,82%","R$ 1,00","1,20","R$ 1,20",FK Zeleznicar Pancevo vs FK Radnik Surdulica,,,,"51,28%",
09/05/2026,00:00,Sim,,"1,58","1,61","0,00%","1,90%","R$ 1,00","0,61","R$ 0,61",FC Zurich vs Grasshoppers,,,,"63,29%",
09/05/2026,00:00,Sim,,"1,79","2,00","0,00%","11,73%","R$ 1,00","1,00","R$ 1,00",Obolon Kyiv vs Epitsentr Kamianets-Podilskyi,,,,"55,87%",
09/05/2026,00:00,Sim,,"1,98","2,10","0,00%","6,06%","R$ 1,00","1,10","-R$ 1,00",Reus FC Reddis vs UD Ourense,,,,"50,51%",
09/05/2026,00:00,Sim,,"2,00","2,75","0,00%","37,50%","R$ 1,00","1,75","-R$ 1,00",Magesi FC vs Orlando Pirates,,,,"50,00%",
09/05/2026,00:00,Sim,,"1,64","1,72","0,00%","4,88%","R$ 1,00","0,72","R$ 0,72",Stal Mielec vs Puszcza Niepolomice,,,,"60,98%",
09/05/2026,00:00,Sim,,"1,55","1,61","0,00%","3,87%","R$ 1,00","0,61","R$ 0,61",Znicz Pruszków vs Polonia Bytom,,,,"64,52%",
09/05/2026,00:00,Sim,,"1,87","1,90","0,00%","1,60%","R$ 1,00","0,90","-R$ 1,00",Tudelano vs Real Oviedo Vetusta,,,,"53,48%",
09/05/2026,00:00,Sim,,"2,47","3,00","0,00%","21,46%","R$ 1,00","2,00","-R$ 1,00",CD Moron vs Los Andes,,,,"40,49%",
09/05/2026,00:00,Sim,,"2,46","2,75","0,00%","11,79%","R$ 1,00","1,75","R$ 1,75",CA San Miguel vs CA Estudiantes Caseros,,,,"40,65%",
09/05/2026,00:00,Sim,,"2,19","2,50","0,00%","14,16%","R$ 1,00","1,50","-R$ 1,00",Talleres Remedios vs Villa San Carlos,,,,"45,66%",
09/05/2026,00:00,Sim,,"2,23","2,50","0,00%","12,11%","R$ 1,00","1,50","R$ 1,50",Deportivo Armenio vs Deportivo Camioneros,,,,"44,84%",
09/05/2026,00:00,Sim,,"2,42","2,50","0,00%","3,31%","R$ 1,00","1,50","-R$ 1,00",CSD Flandria vs Deportivo Merlo,,,,"41,32%",
09/05/2026,00:00,Sim,,"2,24","2,50","0,00%","11,61%","R$ 1,00","1,50","-R$ 1,00",Independiente Chivilcoy vs Club Atlético El Linqueño,,,,"44,64%",
09/05/2026,00:00,Sim,,"1,87","2,20","0,00%","17,65%","R$ 1,00","1,20","-R$ 1,00",Danubio vs Albion FC,,,,"53,48%",
09/05/2026,00:00,Sim,,"1,92","2,10","0,00%","9,38%","R$ 1,00","1,10","-R$ 1,00",Goias vs Vila Nova,,,,"52,08%",
09/05/2026,00:00,Sim,,"2,42","2,50","0,00%","3,31%","R$ 1,00","1,50","R$ 1,50",Maracanã vs Sampaio Correa,,,,"41,32%",
09/05/2026,00:00,Sim,,"2,04","2,37","0,00%","16,18%","R$ 1,00","1,37","-R$ 1,00",Madureira vs Portuguesa,,,,"49,02%",
09/05/2026,00:00,Sim,,"2,01","2,20","0,00%","9,45%","R$ 1,00","1,20","-R$ 1,00",Pouso Alegre vs America RJ,,,,"49,75%",
09/05/2026,00:00,Sim,,"1,94","1,95","0,00%","0,52%","R$ 1,00","0,95","-R$ 1,00",Bolton vs Bradford,,,,"51,55%",
09/05/2026,00:00,Sim,,"1,92","2,00","0,00%","4,17%","R$ 1,00","1,00","R$ 1,00",America de Cali vs Independiente Santa Fe,,,,"52,08%",
09/05/2026,00:00,Sim,,"1,87","2,00","0,00%","6,95%","R$ 1,00","1,00","-R$ 1,00",Central Espanol vs Racing Club de Montevideo,,,,"53,48%",
09/05/2026,00:00,Sim,,"1,85","2,20","0,00%","18,92%","R$ 1,00","1,20","R$ 1,20",Fluminense vs Vitoria,,,,"54,05%",
09/05/2026,00:00,Sim,,"1,96","2,10","0,00%","7,14%","R$ 1,00","1,10","-R$ 1,00",Itabaiana vs Floresta,,,,"51,02%",
09/05/2026,00:00,Sim,,"1,95","2,10","0,00%","7,69%","R$ 1,00","1,10","R$ 1,10",Paysandu vs Anapolis,,,,"51,28%",
09/05/2026,00:00,Sim,,"1,99","2,20","0,00%","10,55%","R$ 1,00","1,20","R$ 1,20",Maranhao vs Botafogo PB,,,,"50,25%",
09/05/2026,00:00,Sim,,"2,11","2,20","0,00%","4,27%","R$ 1,00","1,20","-R$ 1,00",Marica vs Noroeste,,,,"47,39%",
09/05/2026,00:00,Sim,,"2,40","2,62","0,00%","9,17%","R$ 1,00","1,62","R$ 1,62",Marcilio Dias vs Brasil de Pelotas,,,,"41,67%",
09/05/2026,00:00,Sim,,"2,08","2,25","0,00%","8,17%","R$ 1,00","1,25","-R$ 1,00",XV Piracicaba vs Sampaio Correa RJ,,,,"48,08%",
09/05/2026,00:00,Sim,,"1,89","1,90","0,00%","0,53%","R$ 1,00","0,90","R$ 0,90",Mixto (W) vs Bahia (W),,,,"52,91%",
09/05/2026,00:00,Sim,,"1,65","1,75","0,00%","6,06%","R$ 1,00","0,75","R$ 0,75",New England vs Philadelphia,,,,"60,61%",
09/05/2026,00:00,Sim,,"1,90","2,00","0,00%","5,26%","R$ 1,00","1,00","-R$ 1,00",Louisville City FC vs Pittsburgh Riverhounds,,,,"52,63%",
09/05/2026,00:00,Sim,,"2,26","2,50","0,00%","10,62%","R$ 1,00","1,50","R$ 1,50",Velo Clube vs Nova Iguacu,,,,"44,25%",
09/05/2026,00:00,Sim,S,"1,75","2,25","0,00%","28,57%","R$ 1,00","1,25","R$ 1,25",Angel City FC (W) vs San Diego Wave (W),,,,"57,14%",
09/05/2026,00:00,Sim,,"1,81","1,83","0,00%","1,10%","R$ 1,00","0,83","-R$ 1,00",Spokane Zephyr (W) vs DC Power (W),,,,"55,25%",
09/05/2026,00:00,Sim,,"2,04","2,10","0,00%","2,94%","R$ 1,00","1,10","R$ 1,10",Alianza Lima vs Sporting Cristal,,,,"49,02%",
10/05/2026,00:00,Sim,,"1,77","1,80","0,00%","1,69%","R$ 1,00","0,80","R$ 0,80",Dalian K'un City vs Guangdong GZ-Power,,,,"56,50%",
10/05/2026,00:00,Sim,,"2,04","2,10","0,00%","2,94%","R$ 1,00","1,10","R$ 1,10",Foshan Nanshi vs Suzhou Dongwu,,,,"49,02%",
10/05/2026,00:00,Sim,,"1,94","1,95","0,00%","0,52%","R$ 1,00","0,95","R$ 0,95",Shimizu S-Pulse vs Avispa Fukuoka,,,,"51,55%",
10/05/2026,00:00,Sim,,"1,93","2,00","0,00%","3,63%","R$ 1,00","1,00","-R$ 1,00",Vissel Kobe vs Fagiano Okayama,,,,"51,81%",
10/05/2026,00:00,Sim,,"1,95","2,10","0,00%","7,69%","R$ 1,00","1,10","R$ 1,10",FC Tokyo vs Tokyo Verdy,,,,"51,28%",
10/05/2026,00:00,Sim,,"1,70","2,00","0,00%","17,65%","R$ 1,00","1,00","-R$ 1,00",Tochigi SC vs Blaublitz Akita,,,,"58,82%",
10/05/2026,00:00,Sim,,"1,87","2,10","0,00%","12,30%","R$ 1,00","1,10","R$ 1,10",Tokushima Vortis vs Nara Club,,,,"53,48%",
10/05/2026,00:00,Sim,,"1,76","1,83","0,00%","3,98%","R$ 1,00","0,83","-R$ 1,00",Ehime FC vs Kataller Toyama,,,,"56,82%",
10/05/2026,00:00,Sim,,"2,32","2,75","0,00%","18,53%","R$ 1,00","1,75","R$ 1,75",Sevilla Atletico vs Eldense,,,,"43,10%",
10/05/2026,00:00,Sim,,"1,67","1,75","0,00%","4,79%","R$ 1,00","0,75","R$ 0,75",AIK vs Djurgarden,,,,"59,88%",
10/05/2026,00:00,Sim,,"1,84","2,00","0,00%","8,70%","R$ 1,00","1,00","-R$ 1,00",Kalmar FF vs Halmstad,,,,"54,35%",
10/05/2026,00:00,Sim,,"2,37","3,40","0,00%","43,46%","R$ 1,00","2,40","-R$ 1,00",SC Poltava vs Shakhtar Donetsk,,,,"42,19%",
10/05/2026,00:00,Sim,,"1,66","1,80","0,00%","8,43%","R$ 1,00","0,80","R$ 0,80",Baniyas SC vs Shabab Al Ahli Dubai,,,,"60,24%",
10/05/2026,00:00,Sim,,"1,87","2,00","0,00%","6,95%","R$ 1,00","1,00","R$ 1,00",Utebo vs Aguilas,,,,"53,48%",
10/05/2026,00:00,Sim,,"2,09","2,25","0,00%","7,66%","R$ 1,00","1,25","-R$ 1,00",Alcoyano vs UD San Sebastian Reyes,,,,"47,85%",
10/05/2026,00:00,Sim,,"1,94","2,00","0,00%","3,09%","R$ 1,00","1,00","-R$ 1,00",Coruxo vs Atletico Baleares,,,,"51,55%",
10/05/2026,00:00,Sim,,"2,06","2,10","0,00%","1,94%","R$ 1,00","1,10","R$ 1,10",Parma vs Roma,,,,"48,54%",
10/05/2026,00:00,Sim,,"1,54","1,61","0,00%","4,55%","R$ 1,00","0,61","-R$ 1,00",ND Primorje vs NS Mura,,,,"64,94%",
10/05/2026,00:00,Sim,,"2,19","2,37","0,00%","8,22%","R$ 1,00","1,37","R$ 1,37",AEK Athens vs Panathinaikos,,,,"45,66%",
10/05/2026,00:00,Sim,,"1,48","1,61","0,00%","8,78%","R$ 1,00","0,61","R$ 0,61",Moss vs Bryne,,,,"67,57%",
10/05/2026,00:00,Sim,,"2,06","2,10","0,00%","1,94%","R$ 1,00","1,10","R$ 1,10",FK Panevezys vs FK Kauno Zalgiris,,,,"48,54%",
10/05/2026,00:00,Sim,,"2,08","2,10","0,00%","0,96%","R$ 1,00","1,10","R$ 1,10",US Pianese vs Lecco,,,,"48,08%",
10/05/2026,00:00,Sim,,"2,31","2,50","0,00%","8,23%","R$ 1,00","1,50","-R$ 1,00",Agropecuario vs CA Atlanta,,,,"43,29%",
10/05/2026,00:00,Sim,,"2,31","2,37","0,00%","2,60%","R$ 1,00","1,37","-R$ 1,00",Argentino Quilmes vs CS Dock Sud,,,,"43,29%",
10/05/2026,00:00,Sim,,"2,31","2,50","0,00%","8,23%","R$ 1,00","1,50","R$ 1,50",Arsenal de Sarandi vs Real Pilar,,,,"43,29%",
10/05/2026,00:00,Sim,,"2,36","2,62","0,00%","11,02%","R$ 1,00","1,62","-R$ 1,00",Cipolletti vs Juventud Unida Universitario,,,,"42,37%",
10/05/2026,00:00,Sim,,"2,04","2,20","0,00%","7,84%","R$ 1,00","1,20","-R$ 1,00",Boca Unidos vs Sol de America de Formosa,,,,"49,02%",
10/05/2026,00:00,Sim,,"1,92","2,00","0,00%","4,17%","R$ 1,00","1,00","-R$ 1,00",Defensores de Belgrano VR vs CA 9 de Julio Rafaela,,,,"52,08%",
