League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Finland Kakkonnen Play-Offs;Finland;15,0;15,0;3,0;0,5;0,87;1,49;1,93;1,07;0,64;0,53;0,47;4,0;0,25;1,0;1,0;0,62
Brazil Campeonato Cearense B;Brazil;15,0;15,0;2,0;0,91;0,27;0,19;1,13;0,87;0,57;0,33;0,67;3,0;0,33;0,0;0,0;0,17
Brazil Supercopa Women;Brazil;15,0;15,0;2,2;0,79;0,6;0,46;0,8;1,4;0,36;0,27;0,73;3,0;0,0;4,0;0,25;0,12
Burundi Premier League;Burundi;15,0;15,0;2,93;0,49;0,13;1,5;1,53;1,4;0,52;0,73;0,27;1,0;1,0;2,0;1,0;1,0
India Guwahati Premier League;India;15,0;15,0;3,4;0,63;1,0;1,27;1,2;2,2;0,35;0,53;0,47;0,0;0,0;1,0;1,0;0,5
UEFA Regions Cup;International (Europe);15,0;15,0;2,07;0,72;0,6;0,58;0,73;1,33;0,35;0,47;0,53;0,0;0,0;2,0;0,0;0,0
Norway Division 1 Women;Norway;15,0;15,0;3,0;0,65;0,2;1,04;1,4;1,6;0,47;0,53;0,47;1,0;0,0;2,0;0,5;0,25
Gulf Cup;International (North & Central America);15,0;15,0;2,73;0,45;0,07;1,51;1,4;1,33;0,51;0,8;0,2;1,0;0,0;1,0;1,0;0,5
Liberia FA Cup;Liberia;15,0;15,0;2,87;0,45;0,2;1,56;1,53;1,33;0,53;0,87;0,13;3,0;1,0;2,0;1,0;1,0
Scotland Lowland League Cup;Scotland;15,0;15,0;3,87;0,27;1,07;2,81;2,47;1,4;0,64;0,73;0,27;2,0;0,0;3,0;1,0;0,5
Belgium Second Amateur Division VFV A;Belgium;15,0;15,0;3,6;0,48;0,8;1,88;2,2;1,4;0,61;0,73;0,27;0,0;0,0;0,0;0,0;0,0
Uruguay Clausura;Uruguay;15,0;15,0;2,13;0,61;0,8;0,83;0,67;1,47;0,31;0,33;0,67;1,0;1,0;1,0;0,0;0,5
Spanish Copa de Catalunya Women;Spanish;15,0;15,0;3,0;0,69;0,6;0,93;1,2;1,8;0,4;0,4;0,6;1,0;0,0;6,0;0,33;0,17
Canada Premier League;Canada;15,0;15,0;2,13;0,66;0,0;0,73;1,07;1,07;0,5;0,53;0,47;0,0;0,0;0,0;0,0;0,0
Slovenia League Women;Slovenia;15,0;15,0;4,27;0,5;0,4;2,15;2,33;1,93;0,55;0,67;0,33;4,0;0,75;4,0;0,75;0,75
Brazil Campeonato Roraimense;Brazil;14,0;14,0;2,86;0,71;0,0;0,82;1,43;1,43;0,5;0,43;0,57;2,0;0,5;3,0;0,0;0,25
Fiji National League;Fiji;14,0;14,0;4,0;0,57;0,14;1,71;1,93;2,07;0,48;0,64;0,36;2,0;1,0;2,0;0,5;0,75
India U21 Development League;India;14,0;14,0;2,5;0,83;0,36;0,43;1,43;1,07;0,57;0,36;0,64;2,0;0,5;1,0;0,0;0,25
Botswana FA Cup;Botswana;14,0;14,0;1,36;0,85;0,07;0,21;0,64;0,71;0,47;0,43;0,57;4,0;0,75;1,0;0,0;0,38
Brazil Campeonato Capixaba U20;Brazil;14,0;14,0;4,14;0,63;0,29;1,52;1,93;2,21;0,47;0,64;0,36;4,0;0,5;4,0;0,75;0,62
Northern Ireland Premier Intermediate League;North Ireland;14,0;14,0;2,71;0,78;0,29;0,59;1,5;1,21;0,55;0,64;0,36;0,0;0,0;0,0;0,0;0,0
Norway Division 3 Group 6;Norway;14,0;14,0;3,21;0,49;0,36;1,64;1,79;1,43;0,56;0,71;0,29;0,0;0,0;1,0;1,0;0,5
Czechia Tipsport Liga;Czech Republic;14,0;14,0;3,43;0,58;0,14;1,44;1,79;1,64;0,52;0,57;0,43;3,0;1,0;0,0;0,0;0,5
Zanzibar FA Cup;Tanzania;14,0;14,0;2,36;0,68;1,07;0,76;1,71;0,64;0,73;0,43;0,57;4,0;0,5;3,0;1,0;0,75
Croatia First League Women;Croatia;14,0;14,0;3,5;0,55;0,21;1,59;1,86;1,64;0,53;0,43;0,57;5,0;0,6;4,0;0,5;0,55
Oman U21 Championship;Oman;14,0;14,0;2,5;0,58;0,5;1,05;1,0;1,5;0,4;0,5;0,5;1,0;1,0;0,0;0,0;0,5
Colombia Regional League;Colombia;14,0;14,0;2,86;0,76;0,0;0,68;1,43;1,43;0,5;0,43;0,57;0,0;0,0;2,0;1,0;0,5
Campeonato Roraimense;Brazil;14,0;14,0;3,64;0,41;0,36;2,14;2,0;1,64;0,55;0,57;0,43;5,0;0,6;4,0;0,5;0,55
Romania U19 Cup;Romania;14,0;14,0;4,07;0,56;0,07;1,8;2,07;2,0;0,51;0,57;0,43;4,0;0,5;6,0;0,83;0,67
Rwanda Cup Women;Rwanda;14,0;14,0;3,07;0,59;0,79;1,25;1,93;1,14;0,63;0,57;0,43;3,0;0,67;1,0;0,0;0,33
CAFA Nations Cup;International (Asia);14,0;14,0;2,5;0,51;0,07;1,21;1,21;1,29;0,49;0,64;0,36;2,0;0,5;4,0;0,5;0,5
Jordan Cup Women;Jordan;14,0;14,0;4,5;0,63;0,21;1,68;2,14;2,36;0,48;0,57;0,43;2,0;0,0;4,0;0,75;0,38
Japan University Championship Women;Japan;14,0;14,0;3,0;1,11;0,57;-0,33;1,21;1,79;0,4;0,36;0,64;3,0;0,33;2,0;1,0;0,67
Burkina Faso League 2;Burkina Faso;14,0;14,0;1,57;0,54;0,71;0,72;1,14;0,43;0,73;0,21;0,79;0,0;0,0;0,0;0,0;0,0
Kyrgyzstan Cup;Kyrgyzstan;14,0;14,0;2,86;0,67;0,86;0,94;1,0;1,86;0,35;0,43;0,57;2,0;0,5;4,0;0,5;0,5
nan;UAE;13,0;13,0;3,46;0,67;1,62;1,13;2,54;0,92;0,73;0,54;0,46;3,0;0,67;0,0;0,0;0,33
nan;Guatemala;13,0;13,0;3,0;0,68;0,23;0,96;1,62;1,38;0,54;0,46;0,54;3,0;0,33;0,0;0,0;0,17
nan;Georgia;13,0;13,0;2,0;0,87;0,62;0,27;0,69;1,31;0,35;0,38;0,62;0,0;0,0;1,0;0,0;0,0
Womens Olympic Qual;International (World);13,0;13,0;2,62;1,02;0,46;-0,05;1,54;1,08;0,59;0,31;0,69;4,0;0,5;2,0;0,5;0,5
Gulf Cup U23;International (North & Central America);13,0;13,0;2,31;0,51;0,46;1,13;1,38;0,92;0,6;0,38;0,62;1,0;0,0;1,0;0,0;0,0
OFC Champions League;International (Oceania);13,0;13,0;2,46;0,77;1,23;0,56;1,85;0,62;0,75;0,38;0,62;4,0;0,0;1,0;1,0;0,5
Cyprus Cup Women;Cyprus;13,0;13,0;2,92;0,36;0,77;1,89;1,85;1,08;0,63;0,62;0,38;5,0;0,4;3,0;1,0;0,7
Northern Ireland Championship Women;North Ireland;13,0;13,0;3,92;0,53;0,23;1,86;2,08;1,85;0,53;0,69;0,31;4,0;1,0;5,0;0,6;0,8
Macau FA Cup;Macau;13,0;13,0;4,08;0,6;0,69;1,61;2,38;1,69;0,58;0,54;0,46;6,0;0,67;4,0;0,5;0,58
Scotland Championship Play-Offs;Scotland;13,0;13,0;2,46;0,75;0,0;0,61;1,23;1,23;0,5;0,62;0,38;1,0;1,0;0,0;0,0;0,5
Saudi Arabia Reserve League;Saudi Arabia;13,0;13,0;2,69;0,65;0,23;0,94;1,23;1,46;0,46;0,38;0,62;1,0;0,0;3,0;1,0;0,5
Brazil Copa Paraense U20;Brazil;13,0;13,0;3,15;0,53;0,38;1,48;1,77;1,38;0,56;0,46;0,54;4,0;0,5;0,0;0,0;0,25
Ghana Super Cup Women;Ghana;13,0;13,0;3,15;0,58;0,38;1,34;1,77;1,38;0,56;0,46;0,54;2,0;0,0;0,0;0,0;0,0
South East Asian Games;International (Asia);13,0;13,0;3,15;0,53;0,85;1,48;2,0;1,15;0,63;0,54;0,46;8,0;0,5;1,0;1,0;0,75
Brazil Paulista Cup Women;Brazil;13,0;13,0;3,85;0,67;0,15;1,27;2,0;1,85;0,52;0,54;0,46;3,0;0,67;3,0;0,0;0,33
South Africa Play Offs;South Africa;13,0;13,0;1,46;0,82;0,69;0,26;1,08;0,38;0,74;0,31;0,69;0,0;0,0;0,0;0,0;0,0
Mozambique Mocambola;Mozambique;13,0;13,0;3,0;0,67;0,38;1,0;1,69;1,31;0,56;0,62;0,38;4,0;0,75;0,0;0,0;0,38
Brazil Copa Goias 2 U20;Brazil;13,0;13,0;4,08;0,69;0,23;1,26;2,15;1,92;0,53;0,46;0,54;4,0;0,5;2,0;0,0;0,25
Brazil Campeonato Tocantinense;Brazil;13,0;13,0;2,38;0,32;0,54;1,62;1,46;0,92;0,61;0,54;0,46;5,0;0,2;0,0;0,0;0,1
Indonesia Cup;Indonesia;13,0;13,0;2,62;0,57;0,62;1,11;1,0;1,62;0,38;0,46;0,54;0,0;0,0;0,0;0,0;0,0
Youth International;International (World);13,0;13,0;2,54;0,83;0,23;0,43;1,15;1,38;0,45;0,38;0,62;3,0;0,67;0,0;0,0;0,33
Serbia Super Liga Play-Offs;Serbia;12,0;11,0;1,58;0,63;0,58;0,59;1,08;0,5;0,68;0,33;0,67;6,0;0,33;0,0;0,0;0,17
Bolivia Liga Nacional U19;Bolivia;12,0;12,0;3,58;0,55;1,25;1,61;2,42;1,17;0,67;0,67;0,33;3,0;1,0;0,0;0,0;0,5
Brazil Campeonato Carioca B2;Brazil;12,0;12,0;2,25;0,66;0,75;0,77;1,5;0,75;0,67;0,5;0,5;1,0;1,0;0,0;0,0;0,5
Jordan U19 Cup;Jordan;12,0;12,0;2,42;0,69;0,08;0,74;1,17;1,25;0,48;0,58;0,42;3,0;0,67;1,0;0,0;0,33
Brazil Copa Centro-Oeste;Brazil;12,0;12,0;2,42;0,78;0,25;0,54;1,33;1,08;0,55;0,58;0,42;1,0;0,0;0,0;0,0;0,0
African Games Women;International (Africa);12,0;12,0;2,33;0,53;0,83;1,1;1,58;0,75;0,68;0,42;0,58;6,0;0,33;0,0;0,0;0,17
Brazil Campeonato Mineiro U20;Brazil;12,0;12,0;4,25;0,66;2,42;1,45;3,33;0,92;0,78;0,5;0,5;2,0;0,5;2,0;1,0;0,75
Brazil Campeonato Carioca U20;Brazil;12,0;12,0;1,75;0,69;1,08;0,53;1,42;0,33;0,81;0,25;0,75;0,0;0,0;0,0;0,0;0,0
Puerto Rico League;Puerto Rico;12,0;12,0;4,25;0,45;0,25;2,34;2,25;2,0;0,53;0,5;0,5;3,0;0,33;3,0;0,33;0,33
India National Games;India;12,0;12,0;2,75;0,66;0,25;0,93;1,5;1,25;0,55;0,5;0,5;0,0;0,0;2,0;1,0;0,5
Czech Cup Women;Czech Republic;12,0;12,0;4,17;0,39;1,67;2,52;1,25;2,92;0,3;0,42;0,58;3,0;0,33;5,0;0,2;0,27
Paraguay Women League;Paraguay;12,0;12,0;4,08;0,48;0,58;2,11;1,75;2,33;0,43;0,42;0,58;6,0;0,83;4,0;0,0;0,42
Ukraine Play-Offs;Ukraine;12,0;12,0;2,42;0,62;0,58;0,91;1,5;0,92;0,62;0,5;0,5;1,0;1,0;0,0;0,0;0,5
Saudi Arabia Premier League Women;Saudi Arabia;12,0;12,0;4,42;0,61;0,25;1,7;2,08;2,33;0,47;0,67;0,33;3,0;0,33;3,0;0,67;0,5
Bulgaria Premier League Women;Bulgaria;12,0;12,0;3,83;0,73;1,17;1,04;1,33;2,5;0,35;0,17;0,83;2,0;0,5;5,0;0,0;0,25
Bahrain Play-Offs;Bahrain;12,0;12,0;2,83;0,5;0,33;1,43;1,25;1,58;0,44;0,75;0,25;0,0;0,0;1,0;0,0;0,0
Romania Liga I Play-Offs;Romania;12,0;12,0;1,25;0,69;0,58;0,38;0,92;0,33;0,73;0,17;0,83;5,0;0,2;0,0;0,0;0,1
Netherlands Youth Eredivisie;Netherlands;12,0;12,0;3,83;0,6;0,5;1,54;2,17;1,67;0,57;0,67;0,33;3,0;1,0;0,0;0,0;0,5
Türkiye 1 Ligi Women;Turkey;12,0;12,0;3,42;0,54;0,08;1,58;1,67;1,75;0,49;0,58;0,42;3,0;0,0;1,0;1,0;0,5
North Macedonia U19 League;North Macedonia;12,0;12,0;4,33;0,68;0,17;1,4;2,25;2,08;0,52;0,58;0,42;2,0;0,5;3,0;0,67;0,58
Switzerland Cup Women;Switzerland;12,0;12,0;2,58;0,65;0,08;0,91;1,33;1,25;0,52;0,33;0,67;3,0;0,33;3,0;0,0;0,17
Norway Division 1 Play-Offs;Norway;12,0;12,0;3,5;0,52;0,0;1,67;1,75;1,75;0,5;0,83;0,17;0,0;0,0;0,0;0,0;0,0
Gulf Club Championships;International (North & Central America);12,0;12,0;1,83;0,61;0,17;0,72;0,83;1,0;0,45;0,42;0,58;1,0;1,0;2,0;0,0;0,5
Zanzibar Mapinduzi Cup;Tanzania;12,0;12,0;2,25;0,6;0,42;0,89;1,33;0,92;0,59;0,5;0,5;2,0;0,5;2,0;0,0;0,25
OFC Nations Cup Women;International (Oceania);12,0;12,0;2,83;0,5;0,33;1,43;1,58;1,25;0,56;0,42;0,58;3,0;0,33;1,0;1,0;0,67
North Macedonia League Women;North Macedonia;12,0;12,0;3,08;0,78;0,08;0,69;1,5;1,58;0,49;0,33;0,67;5,0;0,6;3,0;0,33;0,47
CONCACAF Gold Cup Qualifying;International (North & Central America);12,0;12,0;2,75;0,82;0,75;0,49;1,75;1,0;0,64;0,25;0,75;4,0;0,25;2,0;0,5;0,38
Scotland League One Play-Offs;Scotland;12,0;12,0;3,25;0,56;0,08;1,43;1,67;1,58;0,51;0,75;0,25;1,0;0,0;0,0;0,0;0,0
nan;Mexico;11,0;11,0;3,18;0,5;0,45;1,58;1,82;1,36;0,57;0,45;0,55;3,0;0,33;1,0;0,0;0,17
Central American Games;International (North & Central America);11,0;11,0;3,0;0,52;0,27;1,45;1,64;1,36;0,55;0,64;0,36;1,0;1,0;0,0;0,0;0,5
Cyprus Division 3;Cyprus;11,0;11,0;2,91;0,39;1,45;1,77;2,18;0,73;0,75;0,55;0,45;3,0;0,67;0,0;0,0;0,33
U20 International Women;International (World);11,0;11,0;3,09;0,49;0,91;1,58;2,0;1,09;0,65;0,55;0,45;3,0;0,33;1,0;0,0;0,17
U23 International;International (World);11,0;11,0;2,73;0,55;0,18;1,24;1,45;1,27;0,53;0,45;0,55;1,0;0,0;1,0;0,0;0,0
Israel Liga Alef Play-Offs;Israel;11,0;11,0;2,64;0,78;0,27;0,57;1,45;1,18;0,55;0,55;0,45;0,0;0,0;0,0;0,0;0,0
Philippines UAAP;Philippines;11,0;11,0;2,45;0,67;0,64;0,82;0,91;1,55;0,37;0,55;0,45;1,0;1,0;2,0;0,0;0,5
Germany Oberliga Play offs;Germany;11,0;11,0;3,82;0,62;0,0;1,46;1,91;1,91;0,5;0,73;0,27;1,0;1,0;0,0;0,0;0,5
FIFA Arab Cup Qualifying;International (Asia);11,0;11,0;2,36;0,95;0,36;0,12;1,36;1,0;0,58;0,45;0,55;5,0;0,4;0,0;0,0;0,2
Bosnia & Herzegovina U19 Liga;Bosnia;11,0;10,0;2,91;0,54;0,73;1,33;1,82;1,09;0,62;0,64;0,36;0,0;0,0;0,0;0,0;0,0
Argentina Nacional Reserve League;Argentina;11,0;11,0;1,45;0,71;0,18;0,42;0,82;0,64;0,56;0,09;0,91;3,0;0,33;0,0;0,0;0,17
Brazil Campeonato Sul-Matogrossense;Brazil;11,0;11,0;3,18;0,77;1,18;0,74;2,18;1,0;0,69;0,64;0,36;4,0;0,5;0,0;0,0;0,25
Uzbekistan 1st Division;Uzbekistan;11,0;11,0;2,91;0,29;0,36;2,08;1,64;1,27;0,56;0,55;0,45;3,0;0,0;0,0;0,0;0,0
Finland Kansallinen Liiga Women;Finland;11,0;11,0;3,18;0,64;0,09;1,14;1,64;1,55;0,51;0,64;0,36;5,0;0,6;3,0;0,67;0,63
Brunei FA Cup;Brunei;11,0;11,0;2,73;0,64;0,55;0,99;1,64;1,09;0,6;0,36;0,64;2,0;0,0;2,0;0,5;0,25
Zambia League Women;Zambia;11,0;11,0;2,18;0,84;0,73;0,35;0,73;1,45;0,33;0,18;0,82;5,0;0,4;2,0;0,0;0,2
Scotland Premiership Play-Offs;Scotland;11,0;11,0;3,09;0,4;0,18;1,87;1,45;1,64;0,47;0,64;0,36;0,0;0,0;0,0;0,0;0,0
Sweden 2.div Norra Svealand;Sweden;11,0;11,0;2,91;0,6;0,36;1,15;1,64;1,27;0,56;0,55;0,45;1,0;0,0;0,0;0,0;0,0
Republic of Ireland FAI Cup Women;Ireland;11,0;11,0;3,36;0,43;0,64;1,93;2,0;1,36;0,59;0,64;0,36;3,0;0,67;1,0;1,0;0,83
Northern Ireland Intermediate Cup;North Ireland;11,0;11,0;2,73;0,68;0,18;0,88;1,27;1,45;0,47;0,45;0,55;2,0;0,0;3,0;0,33;0,17
Brazil Copa Norte;Brazil;11,0;11,0;3,27;0,46;1,09;1,78;2,18;1,09;0,67;0,55;0,45;2,0;0,5;0,0;0,0;0,25
Gulf Cup U20;International (North & Central America);11,0;11,0;2,27;0,68;1,0;0,72;1,64;0,64;0,72;0,36;0,64;2,0;0,0;1,0;1,0;0,5
Norway Interkretsserie U19;Norway;11,0;11,0;5,36;0,31;1,0;3,67;3,18;2,18;0,59;0,91;0,09;0,0;0,0;0,0;0,0;0,0
WAFU Cup of Nations Women;International (Africa);10,0;10,0;2,7;0,68;0,9;0,87;0,9;1,8;0,33;0,4;0,6;5,0;0,8;2,0;1,0;0,9
Serbia Cup Women;Serbia;10,0;10,0;3,4;0,65;1,2;1,18;1,1;2,3;0,32;0,4;0,6;1,0;0,0;4,0;0,5;0,25
Brunei Super League;Brunei;10,0;10,0;5,1;0,64;2,1;1,85;1,5;3,6;0,29;0,5;0,5;3,0;0,33;3,0;0,67;0,5
Spain Super Cup;Spain;10,0;10,0;4,0;0,46;1,0;2,17;2,5;1,5;0,62;0,5;0,5;3,0;0,0;0,0;0,0;0,0
Brazil Copa Santa Catarina U20;Brazil;10,0;10,0;3,5;0,74;0,7;0,91;2,1;1,4;0,6;0,5;0,5;1,0;0,0;0,0;0,0;0,0
Finland Kakkonen Group A;Finland;10,0;10,0;3,7;0,42;0,1;2,13;1,9;1,8;0,51;0,7;0,3;3,0;1,0;0,0;0,0;0,5
Finland Kakkonen Group B;Finland;10,0;10,0;3,1;0,6;0,1;1,25;1,6;1,5;0,52;0,4;0,6;2,0;0,5;2,0;0,5;0,5
South East Asian Games Women;International (Asia);10,0;10,0;3,0;0,72;1,0;0,84;2,0;1,0;0,67;0,3;0,7;3,0;0,0;3,0;0,33;0,17
Slovenia Cup Women;Slovenia;10,0;10,0;3,8;0,54;1,4;1,76;2,6;1,2;0,68;0,5;0,5;5,0;0,2;4,0;0,75;0,48
Australia Victoria Cup;Australia;10,0;10,0;2,9;0,66;0,1;0,99;1,4;1,5;0,48;0,4;0,6;2,0;0,0;2,0;0,5;0,25
Kazakhstan League Cup;Kazakhstan;10,0;10,0;2,2;0,82;0,8;0,39;1,5;0,7;0,68;0,3;0,7;2,0;0,5;2,0;0,5;0,5
Netherlands Youth Cup;Netherlands;10,0;10,0;3,9;0,46;0,3;2,11;1,8;2,1;0,46;0,4;0,6;2,0;0,5;2,0;0,5;0,5
Sweden Elitettan;Sweden;10,0;10,0;2,8;0,55;1,2;1,25;0,8;2,0;0,29;0,4;0,6;0,0;0,0;2,0;0,5;0,25
Faroe Islands Div 1;Faroe Islands;10,0;10,0;3,6;0,6;0,6;1,43;1,5;2,1;0,42;0,5;0,5;0,0;0,0;0,0;0,0;0,0
Niger Cup;Niger;10,0;10,0;2,2;0,7;0,8;0,65;1,5;0,7;0,68;0,2;0,8;2,0;0,0;0,0;0,0;0,0
Belgium Division 1 Women;Belgium;10,0;10,0;2,7;0,5;1,5;1,36;2,1;0,6;0,78;0,2;0,8;4,0;0,25;1,0;0,0;0,12
Northern Ireland Championship;North Ireland;10,0;10,0;2,6;0,49;0,6;1,34;1,6;1,0;0,62;0,3;0,7;2,0;0,5;0,0;0,0;0,25
India Shillong 1st Division;India;10,0;10,0;3,7;0,46;0,9;2,0;1,4;2,3;0,38;0,6;0,4;2,0;1,0;1,0;0,0;0,5
Italy Super Cup;Italy;10,0;10,0;2,7;0,43;0,7;1,54;1,7;1,0;0,63;0,4;0,6;1,0;0,0;1,0;0,0;0,0
Australia Victoria Cup Women;Australia;10,0;10,0;3,9;0,46;0,5;2,11;2,2;1,7;0,56;0,8;0,2;1,0;0,0;1,0;1,0;0,5
Hong Kong Women Premier League;Hong Kong;10,0;10,0;2,5;0,57;0,3;1,07;1,4;1,1;0,56;0,2;0,8;4,0;0,25;2,0;0,5;0,38
USA NISA Independent Cup;USA;10,0;10,0;2,6;0,58;0,4;1,09;1,5;1,1;0,58;0,6;0,4;1,0;1,0;0,0;0,0;0,5
Danish Womens 1.Division;Denmark;10,0;10,0;3,8;0,67;0,4;1,27;1,7;2,1;0,45;0,8;0,2;0,0;0,0;3,0;1,0;0,5
nan;Honduras;10,0;10,0;2,6;0,68;0,0;0,82;1,3;1,3;0,5;0,5;0,5;2,0;0,5;0,0;0,0;0,25
