League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index
Burkina Faso Cup;Burkina Faso;22,0;22,0;1,36;0,83;0,18;0,23;0,59;0,77;0,43;0,32;0,68;2,0;1,0;1,0;1,0;1,0
Taiwan League Division 2;Taiwan;22,0;22,0;3,45;0,67;0,36;1,13;1,55;1,91;0,45;0,5;0,5;2,0;0,5;5,0;0,4;0,45
Austria Women League 2;Austria;22,0;22,0;3,14;0,73;0,41;0,84;1,77;1,36;0,57;0,32;0,68;6,0;0,67;2,0;0,0;0,33
Myanmar League 2;Myanmar;22,0;22,0;3,64;0,59;0,36;1,49;1,64;2,0;0,45;0,5;0,5;5,0;0,6;8,0;0,5;0,55
Brazil Campeonato Gaucho U20;Brazil;22,0;22,0;2,73;0,54;0,73;1,24;1,73;1,0;0,63;0,41;0,59;7,0;0,14;3,0;0,33;0,24
African Nations C'ship Qualifying;International (Africa);22,0;22,0;1,95;0,53;0,68;0,91;1,32;0,64;0,67;0,27;0,73;6,0;0,33;2,0;0,5;0,42
Australia SA Premier League Women;Australia;22,0;22,0;3,86;0,43;0,59;2,19;2,23;1,64;0,58;0,73;0,27;4,0;0,5;2,0;0,5;0,5
Aruba Play-offs;Aruba;21,0;21,0;5,1;0,4;1,19;3,07;3,14;1,95;0,62;0,86;0,14;7,0;0,71;2,0;0,5;0,61
Malaysia Challenge Cup;Malaysia;21,0;21,0;2,67;0,79;0,1;0,56;1,38;1,29;0,52;0,38;0,62;7,0;0,29;2,0;0,0;0,14
Brazil Campeonato Carioca B;Brazil;21,0;21,0;1,86;0,77;0,52;0,43;1,19;0,67;0,64;0,33;0,67;0,0;0,0;0,0;0,0;0,0
Sweden 2.div Norra Götaland;Sweden;21,0;21,0;3,52;0,46;0,1;1,89;1,81;1,71;0,51;0,67;0,33;3,0;0,33;0,0;0,0;0,17
Portugal U23 Cup;Portugal;21,0;21,0;3,05;0,63;0,76;1,14;1,9;1,14;0,62;0,48;0,52;2,0;0,0;0,0;0,0;0,0
Australia Darwin Premier League;Australia;21,0;21,0;4,38;0,61;0,0;1,69;2,19;2,19;0,5;0,67;0,33;4,0;0,75;4,0;0,75;0,75
Israel Liga Bet Play-Offs;Israel;21,0;21,0;2,9;0,64;0,05;1,04;1,48;1,43;0,51;0,57;0,43;1,0;1,0;0,0;0,0;0,5
Norway Division 3 Group 1;Norway;21,0;21,0;4,52;0,41;0,52;2,69;2,0;2,52;0,44;0,71;0,29;1,0;0,0;1,0;1,0;0,5
Switzerland Division 1 Women;Switzerland;21,0;21,0;2,57;0,53;1,33;1,21;1,95;0,62;0,76;0,33;0,67;7,0;0,29;2,0;0,5;0,39
U19 International Women;International (World);21,0;21,0;2,24;0,53;0,05;1,06;1,1;1,14;0,49;0,48;0,52;4,0;1,0;3,0;0,0;0,5
Australia Capital Territory U23 League;Australia;20,0;20,0;3,7;0,48;0,8;1,92;2,25;1,45;0,61;0,6;0,4;1,0;0,0;4,0;0,75;0,38
Oman 1st Division;Oman;20,0;19,0;2,35;0,71;0,65;0,69;1,5;0,85;0,64;0,4;0,6;1,0;0,0;1,0;1,0;0,5
Argentina Regional Cup;Argentina;20,0;20,0;2,8;0,56;0,9;1,22;1,85;0,95;0,66;0,4;0,6;1,0;0,0;1,0;1,0;0,5
ASEAN Club Championship;International (Asia);20,0;20,0;3,45;0,46;0,65;1,88;2,05;1,4;0,59;0,65;0,35;5,0;0,4;2,0;0,5;0,45
Australia SA Premier League Women Reserves;Australia;20,0;20,0;4,35;0,67;0,35;1,43;2,0;2,35;0,46;0,5;0,5;3,0;0,33;4,0;0,75;0,54
Ethiopia Higher League Women;Ethiopia;20,0;20,0;2,45;0,75;0,55;0,6;0,95;1,5;0,39;0,5;0,5;2,0;0,0;2,0;0,5;0,25
Sweden 2.div Södra Svealand;Sweden;20,0;20,0;3,3;0,53;0,1;1,55;1,6;1,7;0,48;0,6;0,4;0,0;0,0;0,0;0,0;0,0
Switzerland Women Nationalliga B;Switzerland;20,0;20,0;4,1;0,58;1,2;1,74;2,65;1,45;0,65;0,4;0,6;6,0;0,33;2,0;0,0;0,17
Australia Western Australia State League 1;Australia;20,0;20,0;3,05;0,63;0,45;1,12;1,75;1,3;0,57;0,65;0,35;2,0;0,5;1,0;0,0;0,25
Australia Queensland Premier League Women;Australia;20,0;20,0;3,85;0,43;0,05;2,19;1,9;1,95;0,49;0,6;0,4;4,0;0,75;3,0;0,67;0,71
Luxembourg Ligue 1 Women;Luxembourg;20,0;20,0;3,15;0,56;0,55;1,39;1,85;1,3;0,59;0,5;0,5;5,0;0,8;6,0;0,33;0,57
Malawi League Cup;Malawi;20,0;20,0;2,5;0,57;0,7;1,07;0,9;1,6;0,36;0,55;0,45;3,0;0,67;3,0;0,67;0,67
Brazil Campeonato Piauiense;Brazil;20,0;20,0;2,1;0,72;0,3;0,58;1,2;0,9;0,57;0,35;0,65;4,0;0,25;0,0;0,0;0,12
Finland U21 League;Finland;20,0;20,0;4,1;0,52;0,4;1,97;2,25;1,85;0,55;0,6;0,4;2,0;0,0;2,0;1,0;0,5
Norway U19 Elite League;Norway;19,0;19,0;4,89;0,45;0,47;2,69;2,68;2,21;0,55;0,79;0,21;5,0;1,0;0,0;0,0;0,5
Ukraine Druha Liga;Ukraine;19,0;19,0;2,63;0,71;0,53;0,77;1,05;1,58;0,4;0,53;0,47;2,0;0,5;1,0;1,0;0,75
Jordan League Women;Jordan;19,0;19,0;3,84;0,52;0,26;1,83;1,79;2,05;0,47;0,63;0,37;4,0;0,75;5,0;0,8;0,78
Taiwan Cup;Taiwan;19,0;19,0;4,68;0,65;1,42;1,63;3,05;1,63;0,65;0,53;0,47;7,0;0,43;2,0;0,5;0,46
UAE Second Division;UAE;19,0;19,0;3,37;0,49;0,32;1,73;1,84;1,53;0,55;0,47;0,53;1,0;1,0;1,0;0,0;0,5
Hong Kong Cup;Hong Kong;19,0;19,0;3,11;0,5;0,05;1,55;1,53;1,58;0,49;0,74;0,26;4,0;0,5;3,0;1,0;0,75
Poland Regional Cup;Poland;19,0;19,0;4,89;0,61;1,74;1,9;1,58;3,32;0,32;0,58;0,42;1,0;1,0;8,0;0,5;0,75
CONMEBOL Nations League Women;International (South America);19,0;19,0;2,74;0,89;1,47;0,31;2,11;0,63;0,77;0,37;0,63;5,0;0,0;2,0;1,0;0,5
Estonia Cup Women;Estonia;19,0;19,0;3,11;0,57;1,0;1,34;2,05;1,05;0,66;0,42;0,58;8,0;0,12;5,0;1,0;0,56
Sweden Damallsvenskan;Sweden;19,0;19,0;2,68;0,53;0,68;1,27;1,68;1,0;0,63;0,58;0,42;4,0;0,5;2,0;0,5;0,5
Lithuania II Lyga;Lithuania;19,0;19,0;3,79;0,49;0,42;1,92;2,11;1,68;0,56;0,63;0,37;3,0;0,33;0,0;0,0;0,17
Serbia First League Women;Serbia;19,0;19,0;2,79;0,87;0,26;0,37;1,26;1,53;0,45;0,53;0,47;1,0;0,0;6,0;0,67;0,33
Mali Cup;Mali;19,0;19,0;2,05;0,66;0,47;0,7;1,26;0,79;0,62;0,37;0,63;6,0;0,33;1,0;0,0;0,17
Luxembourg Promotion D’Honneur;Luxembourg;19,0;19,0;3,26;0,57;0,11;1,41;1,68;1,58;0,52;0,63;0,37;2,0;0,0;0,0;0,0;0,0
Brazil Paulista Women;Brazil;19,0;19,0;3,11;0,63;0,37;1,14;1,74;1,37;0,56;0,47;0,53;4,0;0,25;4,0;0,5;0,38
Brazil Copa Sergipe;Brazil;19,0;19,0;2,74;0,56;0,63;1,22;1,68;1,05;0,62;0,47;0,53;5,0;0,4;0,0;0,0;0,2
