Match ID,Date,Time,IN_LIVE,Odd_Ent,Juice,Stake,Lucro_Max,Jogo,Liga,Região,OBS
193504186,2026-04-26,12:00,False,2.62,0.0,1.0,1.62,Renaissance Zemamra vs MAS Fes,Morocco GNF 1,Morocco,
193438204,2026-04-26,13:00,False,2.5,0.0,1.0,1.5,Deportivo Armenio vs San Martin De Burzaco,Argentina Primera B Metropolitana,Argentina,
193504997,2026-04-26,13:25,False,2.1,0.0,1.0,1.1,Samail vs Al Khaburah,Oman League,Oman,
192941147,2026-04-26,14:00,False,2.2,0.0,1.0,1.2,Larissa vs Panserraikos,Greece Super League 1,Greece,
192943772,2026-04-26,14:00,False,2.37,0.0,1.0,1.37,Estrela Amadora vs FC Porto,Portugal Primeira Liga,Portugal,
192943785,2026-04-26,14:00,False,2.1,0.0,1.0,1.1,Santa Clara vs Braga,Portugal Primeira Liga,Portugal,
193436006,2026-04-26,15:00,False,2.2,0.0,1.0,1.2,Guarany de Bage vs Sao Luiz,Brazil Serie D,Brazil,
193436015,2026-04-26,15:30,False,2.2,0.0,1.0,1.2,Juazeirense vs ASA,Brazil Serie D,Brazil,
193108456,2026-04-26,15:30,False,1.9,0.0,1.0,0.9,Racing Ferrol vs Real Aviles CF,Spain Primera Division RFEF Group 1,Spain,
193005585,2026-04-26,18:00,False,2.25,0.0,1.0,1.25,Ceara vs Vila Nova,Brazil Serie B,Brazil,
192938360,2026-04-26,18:30,False,2.2,0.0,1.0,1.2,Athletico Paranaense vs Vitoria,Brazil Serie A,Brazil,
193438850,2026-04-26,19:00,False,1.9,0.0,1.0,0.9,Ituano vs Maringa,Brazil Serie C,Brazil,
192608408,2026-04-26,22:20,False,2.25,0.0,1.0,1.25,Internacional de Bogota vs Boyaca Chico,Colombia Primera A,Colombia,
193545567,2026-04-27,10:50,False,2.5,0.0,1.0,1.5,Bahla vs Oman FC,Oman League,Oman,
193548679,2026-04-27,11:00,False,2.5,0.0,1.0,1.5,El Zamalek vs Enppi,Egypt Division 1,Egypt,
193548673,2026-04-27,11:00,False,2.2,0.0,1.0,1.2,Smouha vs El Masry,Egypt Division 1,Egypt,
193487463,2026-04-27,20:00,False,2.37,0.0,1.0,1.37,Caxias vs Ypiranga RS,Brazil Serie C,Brazil,
193655707,2026-04-28,14:00,False,3.0,0.0,1.0,2.0,Al Moqawloon Al Arab vs Ghazl El Mahallah,Egypt Division 1,Egypt,
193671236,2026-04-28,16:00,False,2.62,0.0,1.0,1.62,MC Alger vs Olympique Akbou,Algeria Division 1,Algeria,
192731524,2026-04-28,19:00,False,2.75,0.0,1.0,1.75,Lanus vs LDU Quito,Copa Libertadores,International (South America),
