DATA;Time;BTTS;IN LIVE?;Odd J;Odd M;Juice;EV;Stake;Lucro Max;Profit;Jogo;Liga;Região;Match ID;%_ProbMod;OBS;ROI;DATA_DISPLAY;Prob_BTTS;Fair_Odd_BTTS
2026-04-25;16:30;Sim;;2,19;2,25;0,00%;2,74%;1,0;1,25;1,25;Manauara vs Nacional AM;Brazil Serie D;Brazil;193441339,0;45,66%;;125,0;25/04/2026;0,4002367724982903;2,498514804732159
2026-04-25;17:00;Sim;;2,04;2,2;0,00%;7,84%;1,0;1,20;1,2;Itabaiana vs Paysandu;Brazil Serie C;Brazil;193386729,0;49,02%;;120,0;25/04/2026;0,4120593660992341;2,426828887879928
2026-04-25;17:00;Sim;;2,02;2,2;0,00%;8,91%;1,0;1,20;1,2;Sergipe vs Lagarto;Brazil Serie D;Brazil;193447813,0;49,50%;;120,0;25/04/2026;0,4204990635746006;2,3781209246418835
2026-04-25;17:00;Sim;;1,89;2,0;0,00%;5,82%;1,0;1,00;1,0;Treze vs Serra Branca;Brazil Serie D;Brazil;193494814,0;52,91%;;100,0;25/04/2026;0,4660435623016457;2,145717557697312
2026-04-25;17:30;Sim;;2,28;2,37;0,00%;3,95%;1,0;1,37;-1,0;San Martin SJ vs Quilmes;Argentina Nacional B;Argentina;192937313,0;43,86%;;-100,0;25/04/2026;0,3266915599423995;3,0609818606714336
2026-04-25;17:30;Sim;;2,02;2,2;0,00%;8,91%;1,0;1,20;-1,0;Defensores Puerto Vilelas vs Juventud Antoniana;Argentina Torneo A;Argentina;193503200,0;49,50%;;-100,0;25/04/2026;0,3293295738482096;3,036462689494799
2026-04-25;17:30;Sim;;1,94;2,1;0,00%;8,25%;1,0;1,10;-1,0;Comerciantes Unidos vs Sporting Cristal;Peru Liga 1;Peru;192943469,0;51,55%;;-100,0;25/04/2026;0,4605558663115178;2,1712845321550502
2026-04-25;18:00;Sim;;2,06;2,25;0,00%;9,22%;1,0;1,25;-1,0;Atletico Rafaela vs Gimnasia Jujuy;Argentina Nacional B;Argentina;192937279,0;48,54%;;-100,0;25/04/2026;0,3992979949084471;2,504388973554226
2026-04-25;18:00;Sim;;2,29;2,62;0,00%;14,41%;1,0;1,62;1,62;Luverdense vs EC Primavera MT;Brazil Serie D;Brazil;193494808,0;43,67%;;162,0;25/04/2026;0,3175765920323004;3,148836772772971
2026-04-25;18:00;Sim;;2,17;2,2;0,00%;1,38%;1,0;1,20;-1,0;Manaus vs Sao Raimundo RR;Brazil Serie D;Brazil;193441342,0;46,08%;;-100,0;25/04/2026;0,3379866461403719;2,9586880213505893
2026-04-25;18:00;Sim;;2,17;2,2;0,00%;1,38%;1,0;1,20;-1,0;Sao Jose RS vs Brasil de Pelotas;Brazil Serie D;Brazil;193487517,0;46,08%;;-100,0;25/04/2026;0,4195503022921477;2,3834987390973854
2026-04-25;19:30;Sim;;2,26;3,0;0,00%;32,74%;1,0;2,00;2,0;Botafogo PB vs Floresta;Brazil Serie C;Brazil;193386736,0;44,25%;;200,0;25/04/2026;0,3529702661683908;2,833091800517648
2026-04-26;01:00;Sim;;2,2;2,2;0,00%;0,00%;1,0;1,20;-1,0;Vanraure Hachinohe vs Blaublitz Akita;Japan J2/J3 Centennial League;Japan;193116605,0;45,45%;;-100,0;26/04/2026;0,4025077433145016;2,4844180818667247
