League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index;btts_equilibrado;btts_favorito;btts_super_fav;btts_hiper_fav
Australia Queensland PL U23;Australia;141,0;141,0;3,87;0,53;0,16;0,36;1,8;2,11;1,75;0,55;0,62;0,38;17,0;0,41;12,0;0,75;0,58;0,6;0,65;0,75;0,5
Iceland League Cup;Iceland;140,0;140,0;4,03;0,49;0,21;0,51;2,04;2,27;1,76;0,56;0,66;0,34;51,0;0,63;11,0;0,73;0,68;0,73;0,62;0,72;0,6
Australia NPL Victoria U23;Australia;140,0;140,0;3,65;0,55;0,16;0,19;1,65;1,92;1,73;0,53;0,61;0,39;15,0;0,73;6,0;1,0;0,87;0,57;0,64;0,54;0,55
Malaysia Super League;Malaysia;140,0;140,0;3,25;0,6;0,15;0,24;1,32;1,74;1,51;0,54;0,47;0,53;39,0;0,44;23,0;0,17;0,3;0,61;0,58;0,45;0,32
UEFA Youth League;International (Europe);139,0;139,0;4,01;0,54;0,17;0,47;1,86;2,24;1,77;0,56;0,58;0,42;32,0;0,47;15,0;0,4;0,43;0,61;0,67;0,71;0,39
Japan J-League Cup;Japan;139,0;139,0;2,59;0,64;0,14;0,2;0,92;1,19;1,4;0,46;0,56;0,44;5,0;0,4;18,0;0,56;0,48;0,57;0,56;0,59;0,33
Argentina Championship Women;Argentina;139,0;139,0;2,16;0,75;0,12;0,33;0,53;1,24;0,91;0,58;0,37;0,63;34,0;0,53;8,0;0,5;0,51;0,35;0,43;0,36;0,41
Spain Tercera Group 8;Spain;139,0;139,0;2,38;0,61;0,12;0,28;0,92;1,33;1,05;0,56;0,5;0,5;27,0;0,33;2,0;0,5;0,42;0,54;0,57;0,35;0,5
Norway Division 3 Group 6;Norway;138,0;138,0;3,75;0,49;0,16;0,49;1,9;2,12;1,63;0,57;0,67;0,33;13,0;0,46;2,0;0,5;0,48;0,76;0,67;0,6;0,42
Sweden 2.div Norra Götaland;Sweden;138,0;138,0;3,17;0,6;0,16;0,29;1,27;1,73;1,44;0,55;0,62;0,38;20,0;0,35;3,0;1,0;0,68;0,64;0,68;0,54;0,27
