League;country;qtd_jogos;qtd_stats_true;media_goals_total_ft;cv_goals_total;conv_rate;goal_asymmetry;open_game_index;media_goals_home_ft;media_goals_away_ft;home_bias;freq_btts;freq_no_goal;qtd_zebra_away;freq_zebra_away_score;qtd_zebra_home;freq_zebra_home_score;zebra_index;btts_equilibrado;btts_favorito;btts_super_fav;btts_hiper_fav
Vietnam V-League 2;Vietnam;123,0;123,0;2,37;0,69;0,13;0,63;0,72;1,5;0,87;0,63;0,45;0,55;29,0;0,52;10,0;0,5;0,51;0,43;0,44;0,39;0,67
Australia NPL Queensland U23;Australia;123,0;123,0;3,89;0,54;0,16;0,07;1,79;1,98;1,91;0,51;0,61;0,39;7,0;0,57;6,0;0,5;0,54;0,6;0,64;0,67;0,44
Zanzibar Premier League;Tanzania;123,0;123,0;2,19;0,71;0,13;0,43;0,63;1,31;0,88;0,6;0,43;0,57;19,0;0,53;2,0;0,5;0,51;0,42;0,45;0,47;0,43
Brazil Campeonato Paulista A4;Brazil;122,0;122,0;1,93;0,72;0,09;0,23;0,54;1,08;0,85;0,56;0,36;0,64;8,0;0,5;0,0;0,0;0,25;0,38;0,34;0,46;0,36
Slovenia Cup;Slovenia;122,0;122,0;3,69;0,72;0,17;0,66;1,03;1,52;2,17;0,41;0,48;0,52;20,0;0,45;42,0;0,52;0,49;0,47;0,52;0,55;0,43
Finland U20 League;Finland;122,0;122,0;4,57;0,5;0,19;0,98;2,27;2,77;1,8;0,61;0,72;0,28;28,0;0,75;11,0;0,82;0,78;0,75;0,72;0,65;0,73
Colombia U20 League;Colombia;122,0;122,0;2,88;0,69;0,14;0,2;0,89;1,54;1,34;0,54;0,53;0,47;17,0;0,59;8,0;0,5;0,54;0,49;0,63;0,5;0,36
Australia South Australia State League Reserves;Australia;121,0;121,0;4,13;0,52;0,18;0,18;1,96;2,16;1,98;0,52;0,61;0,39;20,0;0,7;10,0;0,6;0,65;0,64;0,53;0,67;0,67
Mali Premiere Division;Mali;121,0;118,0;1,75;0,65;0,1;0,03;0,61;0,86;0,89;0,49;0,3;0,7;18,0;0,33;7,0;0,14;0,24;0,34;0,33;0,05;0,38
Spain Tercera Group 11;Spain;121,0;121,0;2,93;0,65;0,16;0,69;1,04;1,81;1,12;0,62;0,45;0,55;29,0;0,41;6,0;0,67;0,54;0,44;0,45;0,5;0,44
Azerbaijan Division 1;Azerbaijan;121,0;121,0;2,77;0,68;0,14;0,27;0,88;1,52;1,25;0,55;0,48;0,52;25,0;0,52;18,0;0,28;0,4;0,52;0,55;0,43;0,38
New Zealand Northern League;New Zealand;121,0;121,0;3,36;0,6;0,15;0,13;1,35;1,74;1,61;0,52;0,6;0,4;10,0;0,7;9,0;0,56;0,63;0,64;0,56;0,65;0,43
Uruguay Apertura;Uruguay;120,0;120,0;2,45;0,6;0,14;0,23;0,97;1,34;1,11;0,55;0,54;0,46;12,0;0,83;7,0;0,57;0,7;0,51;0,56;0,55;0,54
Uruguay Clausura;Uruguay;120,0;120,0;2,29;0,7;0,14;0,21;0,68;1,25;1,04;0,55;0,4;0,6;19,0;0,58;10,0;0,4;0,49;0,34;0,41;0,4;0,62
Dominican Republic Liga;Dominican Republic;119,0;118,0;2,55;0,67;0,14;0,13;0,84;1,34;1,21;0,53;0,46;0,54;16,0;0,62;3,0;0,0;0,31;0,4;0,48;0,42;0,44
Panama Liga de Futbol Nacional;Panama;119,0;119,0;3,21;0,6;0,14;0,35;1,29;1,78;1,43;0,55;0,56;0,44;9,0;0,78;3,0;1,0;0,89;0,28;0,7;0,52;0,56
Japan L1 League Women;Japan;119,0;119,0;2,89;0,66;0,12;0,39;0,99;1,64;1,25;0,57;0,57;0,43;11,0;0,64;5,0;0,6;0,62;0,59;0,64;0,44;0,5
UEFA Women's Champions League;International (Europe);119,0;119,0;3,5;0,51;0,14;0,5;1,72;2,0;1,5;0,57;0,49;0,51;45,0;0,42;32,0;0,56;0,49;0,55;0,59;0,61;0,4
Saint Kitts & Nevis Premier League;Saint Kitts & Nevis;118,0;116,0;3,64;0,64;0,24;0,09;1,32;1,86;1,77;0,51;0,53;0,47;28,0;0,54;26,0;0,62;0,58;0,42;0,5;0,65;0,53
Qatar Reserve League;Qatar;118,0;118,0;2,51;0,72;0,14;0,17;0,71;1,34;1,17;0,53;0,49;0,51;4,0;0,75;1,0;1,0;0,88;0,6;0,39;0,5;0,49
U19 International;International (World);117,0;117,0;3,15;0,62;0,16;0,5;1,19;1,83;1,32;0,58;0,57;0,43;24,0;0,54;3,0;0,33;0,44;0,48;0,61;0,48;0,53
Australia NPL Queensland Women;Australia;117,0;117,0;3,25;0,57;0,15;0,34;1,41;1,79;1,45;0,55;0,47;0,53;34,0;0,32;30,0;0,5;0,41;0,62;0,73;0,45;0,34
Albania First Division;Albania;117,0;116,0;2,32;0,68;0,13;0,23;0,73;1,27;1,04;0,55;0,45;0,55;30,0;0,6;9,0;0,56;0,58;0,52;0,37;0,5;0,54
Australia Northern NSW Reserves League;Australia;116,0;116,0;3,65;0,48;0,14;0,11;1,88;1,88;1,77;0,52;0,7;0,3;4,0;0,75;7,0;0,86;0,8;0,67;0,77;0,79;0,7
Australia A-League Women;Australia;116,0;116,0;2,74;0,63;0,11;0,26;1,02;1,5;1,24;0,55;0,57;0,43;11,0;0,36;4,0;0,75;0,56;0,5;0,67;0,52;0,57
Ukraine Persha Liga;Ukraine;116,0;116,0;1,97;0,68;0,12;0,22;0,64;1,09;0,88;0,55;0,35;0,65;17,0;0,35;5,0;0,4;0,38;0,45;0,36;0,27;0,35
Norway Division 3 Group 2;Norway;116,0;116,0;4,05;0,52;0,19;0,62;1,93;2,34;1,72;0,58;0,7;0,3;27,0;0,59;8,0;1,0;0,8;0,86;0,65;0,65;0,62
Norway Interkretsserie U19;Norway;116,0;116,0;4,9;0,47;0,19;0,45;2,58;2,67;2,22;0,55;0,74;0,26;14,0;0,71;4,0;1,0;0,86;0,74;0,79;0,61;0,77
Trinidad & Tobago Premier League;Trinidad & Tobago;114,0;114,0;3,39;0,53;0,18;0,05;1,59;1,67;1,72;0,49;0,54;0,46;19,0;0,42;14,0;0,43;0,42;0,64;0,51;0,48;0,47
CONCACAF Central American Cup;International (North & Central America);114,0;114,0;2,72;0,68;0,14;0,54;0,86;1,63;1,09;0,6;0,55;0,45;19,0;0,58;6,0;1,0;0,79;0,57;0,53;0,52;0,73
Australia WA State League 1 Reserves;Australia;114,0;114,0;4,07;0,54;0,16;0,16;1,89;2,11;1,96;0,52;0,62;0,38;18,0;0,56;9,0;0,56;0,56;0,67;0,66;0,59;0,58
Spain Copa Federacion;Spain;113,0;113,0;2,63;0,68;0,14;0,29;0,84;1,46;1,17;0,56;0,49;0,51;10,0;0,4;6,0;0,33;0,37;0,53;0,53;0,43;0,25
Hungary NBI Women;Hungary;113,0;112,0;3,57;0,6;0,18;0,1;1,42;1,83;1,73;0,51;0,47;0,53;31,0;0,48;31,0;0,39;0,44;0,28;0,7;0,4;0,43
Sweden 2.div Norra Svealand;Sweden;113,0;113,0;3,46;0,56;0,16;0,56;1,51;2,01;1,45;0,58;0,63;0,37;16,0;0,62;4,0;0,75;0,69;0,54;0,67;0,56;0,75
Kosovo Superliga;Kosovo;112,0;112,0;2,48;0,6;0,13;0,27;0,99;1,38;1,11;0,55;0,51;0,49;12,0;0,67;0,0;0,0;0,33;0,4;0,58;0,59;0,51
Australia Victoria PL 1 U23;Australia;112,0;112,0;4,61;0,55;0,18;0,18;2,08;2,39;2,21;0,52;0,71;0,29;12,0;0,92;14,0;0,64;0,78;0,77;0,63;0,64;0,67
Greece Super League Women;Greece;112,0;112,0;3,01;0,65;0,16;0,56;1,04;1,79;1,22;0,59;0,39;0,61;43,0;0,37;27,0;0,37;0,37;0,5;0,42;0,38;0,37
Bahrain Division 2;Bahrain;112,0;112,0;2,94;0,67;0,17;0,21;0,96;1,37;1,57;0,47;0,46;0,54;25,0;0,52;22,0;0,32;0,42;0,45;0,55;0,59;0,26
Egypt Cup;Egypt;111,0;111,0;1,95;0,77;0,12;0,71;0,46;1,33;0,62;0,68;0,38;0,62;46,0;0,39;1,0;0,0;0,2;0,48;0,29;0,37;0,35
Argentina Regional League;Argentina;111,0;110,0;2,81;0,58;0,12;0,29;1,17;1,55;1,26;0,55;0,52;0,48;13,0;0,31;1,0;1,0;0,65;0,5;0,57;0,46;0,33
Hong Kong Premier League;Hong Kong;111,0;111,0;3,21;0,58;0,15;0,16;1,34;1,68;1,52;0,53;0,56;0,44;21,0;0,48;19,0;0,47;0,47;0,7;0,58;0,55;0,42
Australia SA Premier League Reserves;Australia;111,0;111,0;4,29;0,5;0,19;0,13;2,15;2,21;2,08;0,51;0,65;0,35;16,0;0,75;10,0;0,6;0,68;0,72;0,65;0,53;0,71
South Africa National Div 1;South Africa;111,0;110,0;2,1;0,69;0,12;0,39;0,66;1,24;0,86;0,59;0,45;0,55;4,0;0,5;0,0;0,0;0,25;0,44;0,48;0,45;0,45
Italy Serie C Play-Offs;Italy;111,0;110,0;2,18;0,79;0,11;0,13;0,46;1,15;1,03;0,53;0,49;0,51;3,0;0,67;0,0;0,0;0,33;0,45;0,51;0,49;0,49
Indonesia Liga Nusantara;Indonesia;111,0;111,0;2,38;0,55;0,12;0,05;1,06;1,16;1,22;0,49;0,54;0,46;6,0;0,83;4,0;0,75;0,79;0,56;0,51;0,54;0,54
Norway Division 3 Group 5;Norway;111,0;111,0;4,38;0,53;0,18;0,45;2,07;2,41;1,96;0,55;0,68;0,32;24,0;0,62;9,0;0,89;0,76;0,7;0,78;0,52;0,67
Germany Landespokal;Germany;111,0;111,0;3,45;0,6;0,16;0,62;1,37;1,41;2,04;0,41;0,48;0,52;10,0;0,2;43,0;0,42;0,31;0,75;0,58;0,38;0,33
Brazil Campeonato Gaucho 2;Brazil;110,0;110,0;1,93;0,75;0,1;0,31;0,48;1,12;0,81;0,58;0,37;0,63;12,0;0,42;2,0;0,5;0,46;0,39;0,33;0,56;0,37
China FA Cup;China;110,0;110,0;2,77;0,64;0,15;0,63;1,01;1,07;1,7;0,39;0,44;0,56;7,0;0,29;47,0;0,47;0,38;0,48;0,44;0,48;0,34
Poland Ekstraliga Women;Poland;110,0;110,0;3,3;0,6;0,17;0,05;1,32;1,63;1,67;0,49;0,48;0,52;27,0;0,41;23,0;0,61;0,51;0,67;0,48;0,52;0,39
Iceland Cup;Iceland;110,0;110,0;4,6;0,48;0,22;0,29;2,41;2,45;2,15;0,53;0,69;0,31;31,0;0,68;27,0;0,74;0,71;0,62;0,76;0,72;0,67
Spain Tercera Group 12;Spain;109,0;109,0;2,55;0,67;0,12;0,5;0,84;1,52;1,03;0,6;0,49;0,51;16,0;0,5;3,0;0,67;0,58;0,42;0,5;0,58;0,49
Myanmar U21 League;Myanmar;109,0;109,0;3,19;0,57;0,15;0,07;1,36;1,56;1,63;0,49;0,47;0,53;32,0;0,56;28,0;0,5;0,53;0,5;0,46;0,7;0,35
Mauritania Division 1;Mauritania;108,0;108,0;2,4;0,62;0,12;0,29;0,92;1,34;1,06;0,56;0,49;0,51;14,0;0,43;3,0;0,67;0,55;0,47;0,5;0,64;0,49
Lithuania II Lyga;Lithuania;107,0;107,0;4,04;0,56;0,16;0,58;1,76;2,31;1,73;0,57;0,59;0,41;18,0;0,44;11,0;0,55;0,49;0,62;0,68;0,5;0,45
England Southern League Div One;England;107,0;107,0;3,36;0,47;0,15;0,27;1,79;1,81;1,54;0,54;0,64;0,36;15,0;0,53;4,0;0,5;0,52;0,7;0,6;0,8;0,27
England Isthmian Division One South;England;107,0;107,0;3,04;0,6;0,13;0,25;1,22;1,64;1,39;0,54;0,55;0,45;8,0;1,0;3,0;0,67;0,83;0,58;0,44;0,72;0,55
Togo Premier Division;Togo;107,0;102,0;1,62;0,8;0,15;0,18;0,33;0,9;0,72;0,55;0,33;0,67;11,0;0,55;0,0;0,0;0,27;0,31;0,33;0,42;0,33
Finland Kakkonen Group B;Finland;107,0;107,0;3,74;0,57;0,17;0,49;1,62;2,11;1,63;0,56;0,6;0,4;22,0;0,64;7,0;0,57;0,6;0,48;0,76;0,58;0,5
Cameroon Elite One;Cameroon;107,0;107,0;2,26;0,73;0,11;0,41;0,61;1,34;0,93;0,59;0,42;0,58;11,0;0,64;0,0;0,0;0,32;0,4;0,45;0,43;0,42
Northern Ireland Reserve League;North Ireland;106,0;106,0;4,33;0,47;0,23;0,8;2,28;2,57;1,76;0,59;0,66;0,34;23,0;0,61;7,0;0,86;0,73;0,73;0,6;0,81;0,61
Denmark Cup;Denmark;105,0;105,0;3,33;0,52;0,16;0,29;1,6;1,52;1,81;0,46;0,58;0,42;13,0;0,46;41,0;0,63;0,55;0,64;0,55;0,68;0,52
Thailand League Cup;Thailand;105,0;105,0;2,92;0,62;0,15;0,58;1,11;1,17;1,75;0,4;0,46;0,54;17,0;0,47;27,0;0,56;0,51;0,44;0,48;0,53;0,36
Armenia Premier League;Armenia;104,0;104,0;2,51;0,63;0,15;0,43;0,94;1,47;1,04;0,59;0,43;0,57;25,0;0,32;18,0;0,39;0,35;0,36;0,56;0,41;0,29
Spain Copa De La Reina;Spain;104,0;104,0;3,16;0,66;0,14;0,91;1,08;1,12;2,04;0,36;0,42;0,58;13,0;0,62;37,0;0,32;0,47;0,48;0,42;0,48;0,38
India Mumbai Super Division;India;104,0;104,0;4,54;0,56;0,2;1,13;1,99;1,7;2,84;0,37;0,51;0,49;7,0;0,43;24,0;0,5;0,46;0,58;0,46;0,68;0,42
Türkiye 3.Lig Group 3;Turkey;104,0;103,0;2,48;0,66;0,14;0,37;0,83;1,42;1,06;0,57;0,43;0,57;16,0;0,5;8,0;0,38;0,44;0,53;0,39;0,38;0,36
Myanmar National League;Myanmar;104,0;102,0;3,59;0,62;0,16;0,14;1,35;1,72;1,87;0,48;0,55;0,45;24,0;0,38;18,0;0,44;0,41;0,64;0,62;0,77;0,39
Africa Cup of Nations;International (Africa);104,0;104,0;2,26;0,64;0,1;0,34;0,81;1,3;0,96;0,57;0,46;0,54;30,0;0,57;22,0;0,45;0,51;0,72;0,36;0,66;0,11
Malaysia Cup;Malaysia;104,0;104,0;3,38;0,56;0,16;0,51;1,48;1,94;1,43;0,58;0,5;0,5;37,0;0,43;17,0;0,59;0,51;0,47;0,67;0,53;0,41
Belgium Super League Women;Belgium;103,0;103,0;2,91;0,56;0,17;0,08;1,27;1,5;1,42;0,51;0,56;0,44;26,0;0,5;15,0;0,8;0,65;0,56;0,5;0,76;0,5
Norway Division 3 Group 3;Norway;103,0;103,0;4,1;0,52;0,17;0,45;1,98;2,27;1,83;0,55;0,57;0,43;16,0;0,69;13,0;0,85;0,77;0,5;0,51;0,67;0,72
Indonesia Liga 4;Indonesia;102,0;102,0;3,15;0,69;0,16;0,21;0,97;1,68;1,47;0,53;0,51;0,49;16,0;0,56;7,0;0,71;0,64;0,44;0,42;0,72;0,36
Paraguay Cup;Paraguay;102,0;102,0;2,49;0,71;0,14;0,51;0,72;0,99;1,5;0,4;0,34;0,66;12,0;0,25;21,0;0,38;0,32;0,39;0,37;0,21;0,3
South Korea Cup;South Korea;102,0;102,0;2,47;0,64;0,14;0,14;0,88;1,3;1,17;0,53;0,5;0,5;29,0;0,45;8,0;0,38;0,41;0,62;0,47;0,54;0,29
Coppa Italia;Italy;102,0;102,0;2,79;0,58;0,12;1,09;1,17;1,94;0,85;0,69;0,52;0,48;49,0;0,51;2,0;0,5;0,51;0,48;0,55;0,58;0,46
Switzerland 2. Liga Interregional;Switzerland;101,0;101,0;3,67;0,55;0,16;0,82;1,65;2,25;1,43;0,61;0,65;0,35;14,0;0,79;0,0;0,0;0,39;0,77;0,62;0,65;0,65
Iran Div 1;Iran;100,0;100,0;1,59;0,8;0,1;0,57;0,33;1,08;0,51;0,68;0,32;0,68;13,0;0,46;0,0;0,0;0,23;0,38;0,25;0,33;0,32
Suriname Major League;Suriname;100,0;100,0;2,99;0,61;0,19;0,17;1,16;1,58;1,41;0,53;0,51;0,49;23,0;0,52;15,0;0,47;0,49;0,48;0,64;0,54;0,41
Canada Premier League;Canada;100,0;99,0;2,84;0,6;0,14;0,5;1,12;1,67;1,17;0,59;0,54;0,46;8,0;0,38;1,0;1,0;0,69;0,66;0,53;0,38;0,54
South Africa League Women;South Africa;100,0;100,0;2,74;0,65;0,13;0,22;0,96;1,48;1,26;0,54;0,43;0,57;25,0;0,4;14,0;0,43;0,41;0,53;0,47;0,43;0,32
Australia Capital Territory Premier League;Australia;99,0;99,0;4,08;0,51;0,18;0,24;1,99;2,16;1,92;0,53;0,72;0,28;12,0;0,75;6,0;0,83;0,79;0,57;0,73;0,76;0,82
Andorra Premier Division;Andorra;99,0;99,0;2,73;0,67;0,12;0,24;0,89;1,48;1,24;0,54;0,41;0,59;34,0;0,38;25,0;0,28;0,33;0,58;0,53;0,39;0,3
Rwanda Cup;Rwanda;98,0;98,0;2,16;0,8;0,12;0,37;0,44;1,27;0,9;0,58;0,4;0,6;21,0;0,38;3,0;0,33;0,36;0,5;0,35;0,36;0,4
Hungary U19 1st Division;Hungary;98,0;98,0;3,72;0,54;0,19;0,23;1,7;1,98;1,74;0,53;0,53;0,47;17,0;0,47;4,0;0,5;0,49;0,5;0,56;0,44;0,6
Finland Kakkonen Group A;Finland;97,0;97,0;4,36;0,46;0,17;0,81;2,35;2,59;1,77;0,59;0,66;0,34;28,0;0,46;13,0;0,69;0,58;0,76;0,71;0,78;0,44
UAE Youth League;UAE;96,0;96,0;3,57;0,52;0,16;0,36;1,7;1,97;1,6;0,55;0,64;0,36;28,0;0,64;14,0;0,5;0,57;0,94;0,59;0,65;0,56
North & Central America - World Cup Qualifying;International (North & Central America);95,0;95,0;3,2;0,62;0,15;0,44;1,2;1,82;1,38;0,57;0,4;0,6;42,0;0,43;24,0;0,38;0,4;0,33;0,47;0,53;0,35
USA NPSL;USA;94,0;94,0;3,99;0,5;0,15;0,63;2,0;2,31;1,68;0,58;0,55;0,45;29,0;0,48;13,0;0,38;0,43;0,76;0,61;0,44;0,45
Italy Primavera Cup;Italy;94,0;94,0;3,15;0,56;0,13;1,04;1,37;2,1;1,05;0,67;0,57;0,43;15,0;0,4;0,0;0,0;0,2;0,55;0,62;0,57;0,57
Hong Kong 3rd Division;Hong Kong;94,0;94,0;3,65;0,49;0,16;0,67;1,85;2,16;1,49;0,59;0,56;0,44;13,0;0,38;10,0;0,5;0,44;0,59;0,7;0,32;0,5
Womens World Cup Qual;International (World);93,0;93,0;3,28;0,69;0,16;0,72;1,01;2,0;1,28;0,61;0,4;0,6;39,0;0,33;29,0;0,59;0,46;0,57;0,27;0,42;0,41
Australia Queensland Premier League Women;Australia;92,0;92,0;3,96;0,51;0,15;0,09;1,95;1,93;2,02;0,49;0,5;0,5;20,0;0,4;16,0;0,38;0,39;0,46;0,8;0,45;0,39
Qatar U19 League;Qatar;92,0;92,0;2,6;0,57;0,14;0,1;1,11;1,25;1,35;0,48;0,5;0,5;9,0;0,89;6,0;0,67;0,78;0,42;0,48;0,67;0,5
Australia Capital Territory U23 League;Australia;92,0;92,0;3,97;0,54;0,18;0,36;1,84;2,16;1,8;0,55;0,65;0,35;9,0;0,78;9,0;0,67;0,72;0,71;0,64;0,38;0,75
Zimbabwe Premier Soccer League;Zimbabwe;92,0;91,0;1,63;0,8;0,1;0,09;0,32;0,86;0,77;0,53;0,3;0,7;8,0;0,25;1,0;0,0;0,12;0,38;0,27;0,0;0,3
France Division 2 Women;France;92,0;92,0;2,6;0,53;0,13;0,23;1,22;1,41;1,18;0,54;0,52;0,48;6,0;0,67;3,0;0,67;0,67;0,65;0,43;0,57;0,52
Iceland Premier League Women;Iceland;92,0;92,0;3,9;0,47;0,16;0,47;2,05;2,18;1,72;0,56;0,65;0,35;17,0;0,59;17,0;0,59;0,59;0,6;0,79;0,64;0,48
Portugal Campeonato Nacional Women;Portugal;92,0;92,0;2,83;0,64;0,13;0,24;1,02;1,29;1,53;0,46;0,52;0,48;31,0;0,61;21,0;0,43;0,52;0,56;0,55;0,57;0,48
Moldova Divizia Nationala;Moldova;90,0;90,0;2,92;0,6;0,16;0,01;1,18;1,47;1,46;0,5;0,47;0,53;26,0;0,62;18,0;0,28;0,45;0,45;0,43;0,53;0,47
Norway Division 3 Group 1;Norway;90,0;90,0;4,84;0,52;0,22;1,11;2,34;2,98;1,87;0,61;0,72;0,28;23,0;0,78;4,0;1,0;0,89;0,84;0,62;0,74;0,7
England Isthmian Division One North;England;90,0;90,0;2,72;0,55;0,13;0,26;1,23;1,49;1,23;0,55;0,52;0,48;4,0;0,25;5,0;0,8;0,52;0,61;0,47;0,54;0,52
Wales League Cup;Wales;90,0;90,0;3,63;0,52;0,17;0,37;1,74;2,0;1,63;0,55;0,61;0,39;21,0;0,71;11,0;0,45;0,58;0,65;0,61;0,58;0,63
Cambodia Cup;Cambodia;89,0;89,0;3,7;0,71;0,12;0,19;1,07;1,94;1,75;0,53;0,52;0,48;25,0;0,48;17,0;0,53;0,5;0,58;0,53;0,45;0,57
Angola Girabola;Angola;89,0;89,0;2,12;0,71;0,12;0,44;0,62;1,28;0,84;0,6;0,4;0,6;25,0;0,4;4,0;0,5;0,45;0,42;0,4;0,47;0,21
Copa Libertadores Qualification;International (South America);89,0;89,0;2,18;0,69;0,09;0,36;0,68;1,27;0,91;0,58;0,46;0,54;38,0;0,66;1,0;1,0;0,83;0,35;0,48;0,46;0,59
England FA National League Cup Women;England;88,0;88,0;3,32;0,51;0,14;0,18;1,64;1,75;1,57;0,53;0,52;0,48;16,0;0,56;11,0;0,36;0,46;0,75;0,57;0,46;0,43
Finland Kakkonen Group C;Finland;88,0;88,0;4,48;0,54;0,17;0,66;2,05;2,57;1,91;0,57;0,67;0,33;14,0;0,57;4,0;1,0;0,79;0,76;0,61;0,62;0,73
Australia Western Australia U23 League;Australia;88,0;88,0;3,55;0,55;0,17;0,55;1,59;2,05;1,5;0,58;0,66;0,34;2,0;1,0;0,0;0,0;0,5;0,61;0,82;0,36;0,66
Republic of Ireland U20 League;Republic of Ireland;88,0;88,0;3,6;0,58;0,17;0,92;1,51;2,26;1,34;0,63;0,52;0,48;16,0;0,44;1,0;1,0;0,72;0,54;0,69;0,5;0,4
Honduras Liga de Ascenso;Honduras;88,0;88,0;2,58;0,66;0,12;0,17;0,88;1,38;1,2;0,53;0,55;0,45;11,0;0,55;2,0;0,5;0,52;0,62;0,43;0,45;0,55
Singapore Premier League;Singapore;88,0;88,0;3,65;0,52;0,14;0,15;1,75;1,75;1,9;0,48;0,56;0,44;26,0;0,65;22,0;0,36;0,51;0,64;0,56;0,63;0,45
Turkey Cup;Turkey;87,0;87,0;2,79;0,64;0,14;0,33;1,0;1,56;1,23;0,56;0,46;0,54;28,0;0,5;13,0;0,54;0,52;0,46;0,52;0,38;0,48
Australia Darwin Premier League;Australia;87,0;87,0;3,59;0,66;0,15;0,07;1,22;1,83;1,76;0,51;0,55;0,45;10,0;0,7;9,0;0,44;0,57;0,38;0,66;0,6;0,64
Panama First Division Women;Panama;86,0;85,0;3,51;0,74;0,15;0,53;0,91;2,02;1,49;0,58;0,5;0,5;18,0;0,44;11,0;0,55;0,49;0,5;0,46;0,8;0,43
Colombia Regional League;Colombia;86,0;86,0;4,06;0,57;0,19;0,08;1,75;1,99;2,07;0,49;0,64;0,36;6,0;0,83;5,0;0,6;0,72;0,63;0,66;0,55;0,75
Türkiye 3.Lig Group 2;Turkey;86,0;86,0;2,47;0,65;0,13;0,26;0,87;1,36;1,1;0,55;0,53;0,47;3,0;0,33;0,0;0,0;0,17;0,48;0,6;0,53;0,53
Sweden Elitettan;Sweden;86,0;86,0;3,09;0,56;0,13;0,47;1,37;1,78;1,31;0,58;0,52;0,48;16,0;0,44;4,0;0,75;0,59;0,61;0,54;0,47;0,38
Mauritania Division 2;Mauritania;86,0;86,0;2,81;0,72;0,1;0,37;0,79;1,22;1,59;0,43;0,5;0,5;12,0;0,75;1,0;0,0;0,38;0,55;0,47;0,56;0,5
Finland Liigacup;Finland;86,0;86,0;3,2;0,51;0,16;0,22;1,56;1,71;1,49;0,53;0,59;0,41;13,0;0,62;5,0;0,2;0,41;0,76;0,59;0,48;0,5
Israel Division 1 Women;Israel;85,0;84,0;3,49;0,67;0,16;0,29;1,14;1,89;1,6;0,54;0,46;0,54;27,0;0,48;21,0;0,43;0,46;0,5;0,6;0,45;0,39
Spain U19 Cup;Spain;85,0;85,0;3,13;0,63;0,14;0,85;1,15;1,99;1,14;0,64;0,58;0,42;16,0;0,56;0,0;0,0;0,28;0,59;0,57;0,65;0,38
Portugal Cup Women;Portugal;85,0;85,0;3,46;0,61;0,16;0,54;1,36;2,0;1,46;0,58;0,45;0,55;28,0;0,54;26,0;0,27;0,4;0,7;0,5;0,5;0,38
Bosnia & Herzegovina Cup;Bosnia;85,0;85,0;2,65;0,66;0,15;0,46;0,9;1,55;1,09;0,59;0,36;0,64;24,0;0,38;19,0;0,42;0,4;0,41;0,29;0,39;0,36
Brazil Serie A2 Women;Brazil;84,0;84,0;2,69;0,71;0,11;0,55;0,78;1,62;1,07;0,6;0,39;0,61;27,0;0,33;7,0;0,14;0,24;0,41;0,5;0,29;0,32
Japan L2 League Women;Japan;84,0;84,0;2,37;0,72;0,11;0,13;0,66;1,12;1,25;0,47;0,39;0,61;7,0;0,57;10,0;0,5;0,54;0,32;0,45;0,42;0,39
Brazil Campeonato Mineiro U20;Brazil;84,0;84,0;3,13;0,62;0,13;0,99;1,17;2,06;1,07;0,66;0,55;0,45;18,0;0,39;7,0;0,86;0,62;0,62;0,54;0,59;0,44
Hong Kong U22 League;Hong Kong;84,0;84,0;3,35;0,57;0,16;0,04;1,43;1,65;1,69;0,49;0,61;0,39;8,0;0,5;9,0;0,78;0,64;0,58;0,6;0,71;0,6
Brazil Copa Rio;Brazil;84,0;84,0;1,87;0,7;0,1;0,13;0,55;1,0;0,87;0,54;0,31;0,69;11,0;0,27;7,0;0,43;0,35;0,3;0,35;0,29;0,31
Nicaragua Clausura;Nicaragua;83,0;82,0;2,71;0,65;0,15;0,16;0,95;1,43;1,28;0,53;0,48;0,52;24,0;0,71;7,0;0,29;0,5;0,45;0,41;0,6;0,47
Croatia Cup;Croatia;83,0;83,0;3,1;0,71;0,15;0,42;0,89;1,34;1,76;0,43;0,4;0,6;14,0;0,14;30,0;0,53;0,34;0,57;0,29;0,27;0,42
Hong Kong FA Cup Junior Division;Hong Kong;82,0;82,0;3,9;0,59;0,17;0,61;1,61;2,26;1,65;0,58;0,6;0,4;25,0;0,6;14,0;0,5;0,55;0,8;0,53;0,63;0,57
Saudi Arabia U21 League;Saudi Arabia;82,0;82,0;3,26;0,52;0,15;0,33;1,57;1,79;1,46;0,55;0,68;0,32;11,0;0,73;5,0;0,8;0,76;0,72;0,67;0,59;0,71
Saudi Arabia Division 2;Saudi Arabia;82,0;82,0;2,66;0,6;0,13;0,44;1,07;1,55;1,11;0,58;0,62;0,38;10,0;0,4;4,0;0,75;0,57;0,62;0,65;0,64;0,43
Uganda Super League Women;Uganda;82,0;82,0;2,27;0,72;0,1;0,49;0,64;1,38;0,89;0,61;0,38;0,62;17,0;0,35;8,0;0,5;0,43;0,36;0,41;0,5;0,25
Denmark Elitedivisionen Women;Denmark;82,0;82,0;2,78;0,66;0,13;0,32;0,95;1,55;1,23;0,56;0,48;0,52;17,0;0,53;9,0;0,22;0,38;0,35;0,6;0,56;0,44
Costa Rica Primera Division Women;Costa Rica;81,0;81,0;3,57;0,65;0,15;0,88;1,27;2,22;1,35;0,62;0,46;0,54;33,0;0,52;15,0;0,4;0,46;0,57;0,5;0,67;0,39
